Clapeyron Database File,,,,,
tc-PR Wilson(res) Unlike Parameters
species1,species2,g
ethylacetate~|~ethyl ethanoate,carbon dioxide,-263.35
dimethyl carbonate,carbon dioxide,192.36
sulfur dioxide,dimethyl ether,-193.18
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",r32~|~difluoromethane,38.35
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,r23~|~trifluoromethane,141.35
dimethyl carbonate,"butoxide~|~ethyloxirane~|~1,2-epoxybutane",79.47
"dimethylformamide~|~n,n-dimethylformamide",thf~|~tetrahydrofuran,215.42
acetone~|~propanone,diethyl ether,257.29
acetone~|~propanone,cs2~|~carbon disulfide,529.78
sulfolane,thiophene,-276.59
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,-143.13
"dioxane~|~p-dioxane~|~1,4-dioxane",ethylacetate~|~ethyl ethanoate,103.07
diethyl carbonate,dimethyl carbonate,-19.29
"dioxane~|~p-dioxane~|~1,4-dioxane",triethylamine,226.82
"r152a~|~difluoroethane~|~1,1-difluoroethane","r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",-20.72
"dimethylformamide~|~n,n-dimethylformamide",butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,276.07
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",r125~|~pentafluoroethane,24.71
nitrogen,ammonia,2358.41
nitrogen,water,6963.37
ethane,water,15054.07
butane~|~n-butane,water,2701.68
benzene,water,1361.42
ethane,methanol,1900.68
propane~|~n-propane,methanol,1514.71
benzene,methanol,47.8
hexane~|~n-hexane,methanol,440.16
benzene,ethanol,122.58
heptane~|~n-heptane,ethanol,336.57
ethane,propanol~|~1-propanol~|~propan-1-ol,652.42
benzene,propanol~|~1-propanol~|~propan-1-ol,167.32
hexane~|~n-hexane,propanol~|~1-propanol~|~propan-1-ol,1199.76
"isooctane~|~2,2,4-trimethylpentane",2-propanol~|~propan-2-ol~|~isopropanol,175.67
benzene,diethylamine,57.49
chlorobenzene~|~monochlorobenzene,diethylamine,251.11
cyclohexane,2-butanol~|~butan-2-ol,219.87
carbon dioxide,r32~|~difluoromethane,341.18
sulfur dioxide,r32~|~difluoromethane,38.82
dimethyl ether,r32~|~difluoromethane,-256.94
cs2~|~carbon disulfide,r23~|~trifluoromethane,863.99
dimethyl ether,"r143a~|~1,1,1-trifluoroethane",328.18
cs2~|~carbon disulfide,ch2cl2~|~dichloromethane,149.56
carbon dioxide,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,-291.06
cs2~|~carbon disulfide,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,321.9
dimethyl ether,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,1856.02
carbon dioxide,"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",1549.36
acetone~|~propanone,chcl3~|~chloroform~|~trichloromethane,-556.09
thf~|~tetrahydrofuran,chcl3~|~chloroform~|~trichloromethane,781.35
methylacetate~|~methyl ethanoate,chcl3~|~chloroform~|~trichloromethane,-524.42
ethylacetate~|~ethyl ethanoate,chcl3~|~chloroform~|~trichloromethane,160.0
dipropyl ether~|~di-n-propylether,chcl3~|~chloroform~|~trichloromethane,-622.6
diisopropyl ether~|~di-isopropyl ether,chcl3~|~chloroform~|~trichloromethane,-685.23
1-ethoxybutane~|~butyl ethyl ether~|~n-butyl ethyl ether,chcl3~|~chloroform~|~trichloromethane,-654.06
dimethyl ether,r125~|~pentafluoroethane,1504.8
ethylacetate~|~ethyl ethanoate,trichloroethene~|~trichloroethylene,427.68
dimethyl ether,"r236fa~|~1,1,1,3,3,3-hexafluoropropane",-80.75
3-pentanone~|~pentan-3-one~|~diethylketone,"1,1,2,2-tetrachloroethane",-20.38
cyclopentanone,"1,1,2,2-tetrachloroethane",-170.41
ethylacetate~|~ethyl ethanoate,"1,1,2,2-tetrachloroethane",-604.27
carbon dioxide,"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",301.77
sulfur dioxide,"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",268.5
"halothane~|~2-bromo-2-chloro-1,1,1-trifluoroethane~|~1-bromo-1-chloro-2,2,2-trifluoroethane",methanol,-342.41
hexyne~|~1-hexyne,acetonitrile,682.1
chcl3~|~chloroform~|~trichloromethane,acetonitrile,609.29
1-heptyne,ethanol,-12.21
chcl3~|~chloroform~|~trichloromethane,ethanol,-102.66
chcl3~|~chloroform~|~trichloromethane,acetic acid,1377.18
chcl3~|~chloroform~|~trichloromethane,2-propanol~|~propan-2-ol~|~isopropanol,-31.76
trichloroethene~|~trichloroethylene,2-propanol~|~propan-2-ol~|~isopropanol,-11.01
trichloroethene~|~trichloroethylene,propanol~|~1-propanol~|~propan-1-ol,-32.51
chcl3~|~chloroform~|~trichloromethane,propanol~|~1-propanol~|~propan-1-ol,492.5
chcl3~|~chloroform~|~trichloromethane,ethylformate~|~ethyl methanoate,-417.63
chcl3~|~chloroform~|~trichloromethane,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,396.24
trichloroethene~|~trichloroethylene,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,6477.74
trichloroethene~|~trichloroethylene,2-butanol~|~butan-2-ol,-20.86
trichloroethene~|~trichloroethylene,2-methoxyethanol~|~2-methoxyethan-1-ol,927.77
"1,1,2,2-tetrachloroethane",propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate,-511.55
carbon dioxide,water,4766.83
dimethyl ether,water,1082.06
acetone~|~propanone,water,1078.64
carbon monoxide,methanol,1235.25
carbon dioxide,methanol,521.33
acetone~|~propanone,methanol,52.25
thiophene,methanol,56.12
"dioxane~|~p-dioxane~|~1,4-dioxane",methanol,70.36
ethylacetate~|~ethyl ethanoate,methanol,45.23
methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane,methanol,-299.74
diisopropyl ether~|~di-isopropyl ether,methanol,-197.49
butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,methanol,-18.19
"dioxane~|~p-dioxane~|~1,4-dioxane",acetonitrile,-11.92
carbon dioxide,ethanol,338.61
acetone~|~propanone,ethanol,178.59
butanone~|~2-butanone~|~methyl ethyl ketone,ethanol,112.2
diethyl ether,ethanol,540.84
ethylacetate~|~ethyl ethanoate,ethanol,13.33
methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane,ethanol,-115.89
dibutyl ether~|~di-n-butylether,ethanol,17.29
diisopropyl ether~|~di-isopropyl ether,2-propanol~|~propan-2-ol~|~isopropanol,-34.42
ethylacetate~|~ethyl ethanoate,diethylamine,-93.43
triethylamine,diethylamine,-113.72
carbon dioxide,isobutanol~|~2-methyl-1-propanol,346.14
methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,701.22
carbon dioxide,1-pentanol~|~pentan-1-ol,-183.44
water,ammonia,-184.45
acetonitrile,ammonia,343.1
acetonitrile,water,7475.21
2-propenol~|~2-propen-1-ol~|~allyl alcohol,water,95.64
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",water,1957.19
1-pentanol~|~pentan-1-ol,water,679.12
1-methoxy2-propanol~|~1-methoxy-2-propanol~|~propylene glycol monomethyl ether,water,-399.35
phenol,water,1928.57
2-butoxyethanol~|~2-butoxyethan-1-ol,water,203.07
water,methanol,580.28
ethanol,methanol,-1.38
propanol~|~1-propanol~|~propan-1-ol,methanol,-134.94
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,methanol,-164.45
isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,methanol,-533.35
water,ethanol,982.96
acetic acid,ethanol,-83.74
ethylformate~|~ethyl methanoate,ethanol,348.94
isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,ethanol,391.13
methanol,methylformate~|~methyl methanoate,451.59
water,2-propanol~|~propan-2-ol~|~isopropanol,955.99
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,-0.34
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,nitromethane,578.42
water,ethylformate~|~ethyl methanoate,1537.21
