Clapeyron Database File
iPCSAFT Like Parameters
species,Mw,segment,sigma,epsilon,v_shift,n_H,n_e,source
3-ethylpentane,100.20194,3.3614,3.9805,236.849,2.71e-05,0,0,
3-heptanone,114.18546,4.14,3.8124,244.911,4.48e-05,0,0,
3-hexanone,100.15888,3.9215,3.6796,240.183,3.41e-05,0,0,
"3-methyl-1,2-butadiene",68.11702,2.4185,3.9426,248.2,2.13e-05,0,0,
"3-methyl-1,4-pentadiene",82.1436,2.8766,3.8449,232.676,1.58e-05,0,0,
3-methyl-1-butene,70.1329,2.59,3.8529,222.152,1.33e-05,0,0,
3-methyl-1-butyne,68.11702,3.3538,3.3405,203.127,8.62e-07,0,0,
3-methyl-1-hexene,98.18606,3.3354,3.9336,232.071,2.31e-05,0,0,
3-methyl-1-pentene,84.15948,3.01,3.8531,227.207,1.55e-05,0,0,
3-methyl-2-pentanone,100.15888,3.9895,3.6351,234.593,3.06e-05,0,0,
3-methyl-3-ethylpentane,114.22852,3.3299,4.1192,253.563,2.77e-05,0,0,
3-methyl-cis-2-pentene,0.0,2.9668,3.9245,237.872,2.5e-05,0,0,
3-methylcyclopentene,82.1436,2.7431,3.7672,251.496,1.04e-05,0,0,
3-methylheptane,114.22852,3.8596,3.9972,233.685,3.97e-05,0,0,
3-methylhexane,100.20194,3.4506,3.9662,231.984,3.27e-05,0,0,
3-methylnonane,142.28168,4.5996,4.061,238.213,5.26e-05,0,0,
3-methyloctane,128.2551,4.1782,4.0528,237.459,4.43e-05,0,0,
3-methylpentane,86.17536,3.0581,3.9246,230.038,2.31e-05,0,0,
3-methylthiophene,98.16614,2.8209,3.7055,289.47,1.34e-05,0,0,
3-methyl-trans-2-pentene,0.0,2.9993,3.9548,237.668,3.23e-05,0,0,
3-pentanone,86.1323,3.6428,3.5897,237.909,2.93e-05,0,0,
4-ethyl-m-xylene,134.21816,4.191,3.9306,267.271,4.44e-05,0,0,
4-ethyl-o-xylene,134.21816,4.1703,3.9421,268.569,4.57e-05,0,0,
4-heptanone,114.18546,4.1752,3.7904,242.291,4.02e-05,0,0,
4-isobutylstyrene,160.25544,4.5852,4.1822,285.941,7.21e-05,0,0,
4-methyl-1-hexene,98.18606,3.3094,3.9203,235.47,2.02e-05,0,0,
4-methyl-1-pentene,84.15948,2.8152,3.9772,234.431,1.84e-05,0,0,
4-methyl-cis-2-pentene,0.0,2.8559,3.9649,234.354,2.02e-05,0,0,
4-methylcyclopentene,82.1436,2.7906,3.7468,250.052,8.98e-06,0,0,
4-methylheptane,114.22852,3.8467,4.003,233.198,3.93e-05,0,0,
4-methylnonane,142.28168,4.6008,4.0539,237.025,4.76e-05,0,0,
4-methyloctane,128.2551,4.1828,4.0453,236.356,4.4e-05,0,0,
4-methyl-trans-2-pentene,0.0,2.9417,3.9286,232.262,2.04e-05,0,0,
5-ethyl-m-xylene,134.21816,4.2148,3.9629,262.701,5.09e-05,0,0,
5-methyl-1-hexene,98.18606,3.3724,3.9538,231.02,2.82e-05,0,0,
5-methylnonane,142.28168,4.5292,4.0789,238.349,5.03e-05,0,0,
5-nonanone,142.23862,4.9937,3.894,241.733,6.34e-05,0,0,
6-methyl-1-heptene,112.21264,3.7271,4.0106,234.531,3.74e-05,0,0,
acenaphthene,154.2078,3.9299,4.186,330.71,6.19e-05,0,0,
acetic anhydride,102.08864,4.5224,3.3163,236.913,3.54e-05,0,0,
Acetone,58.07914,3.3416,3.3228,223.197,2.63e-05,0,0,
acrolein,56.06326,3.4459,3.214,219.447,2.46e-05,0,0,
Air,0.0,0.9525,3.5938,106.079,-3.71e-07,0,0,
alpha-methylstyrene,118.1757,3.4706,3.9865,282.815,3.82e-05,0,0,
alpha-phellandrene,136.23404,3.9264,4.0253,267.327,3.14e-05,0,0,
alpha-terpinene,136.23404,3.858,4.0618,269.139,4.29e-05,0,0,
anthracene,178.2292,4.767,4.0837,335.032,6.98e-05,0,0,
Argon,39.948,0.9525,3.4408,120.823,-3.47e-07,0,0,
arsenic (iii) chloride,0.0,3.3062,3.4499,277.472,2.19e-05,0,0,
arsine,0.0,1.049,4.053,286.012,3.7e-06,0,0,
benzaldehyde,106.12194,3.3903,3.6821,303.428,2.76e-05,0,0,
Benzene,78.11184,2.5942,3.7113,275.605,1.51e-05,0,0,
benzotrifluoride,146.10981,3.2891,3.9199,247.522,3.83e-05,0,0,
benzyl chloride,126.58348,3.3967,3.8815,299.265,3.82e-05,0,0,
benzyl formate,136.14792,4.2416,3.6946,279.295,3.77e-05,0,0,
benzyl mercaptan,124.20342,3.3892,3.8949,313.509,3.11e-05,0,0,
beta-phellandrene,136.23404,3.8939,4.0359,267.767,3.31e-05,0,0,
biphenyl,154.2078,4.1026,3.9502,313.153,4.34e-05,0,0,
boron trifluoride,67.80621,4.3488,2.3618,103.445,8.31e-06,0,0,
bromine,79.904,1.9727,3.2239,326.439,-3.1e-06,0,0,
bromobenzene,157.0079,2.9055,3.8833,312.362,2.5e-05,0,0,
bromochlorodifluoromethane,165.364506,2.4156,3.6354,215.98,1.03e-05,0,0,
bromomethane,94.93852,2.1585,3.3042,248.113,7.92e-06,0,0,
bromotrichloromethane,198.2737,2.4534,3.8607,304.907,8.49e-06,0,0,
bromotrifluoroethylene,160.92061,2.326,3.6367,222.88,7.64e-06,0,0,
CarbonDioxide,44.0095,2.6969,2.6017,146.566,4.88e-06,0,0,
