Clapeyron Database File,,,,,
ogUNIFAC Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,source
OH,,ACRY,,74.27,
OH,,CL-(C=C),,225.8,
OH,,ACF,,44.78,
OH,,DMF~|~HCON(..,,-143.9,
OH,,COO,,190.3,
OH,,SIH3~|~SIH2~|~SIH~|~SI,,-817.7,
OH,,SIH2O~|~SIHO~|~SIO,,-1712.8,
OH,,NMP,,-504.2,
OH,,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,72.96,
OH,,AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,-382.7,
OH,,C2H5O2~|~C2H4O2,,-248.3,
OH,,MORPH,,104.7,
OH,,C4H4S~|~C4H3S~|~C4H2S,,57.65,
OH,,(CH2)2SU~|~CH2CHSU,,215.81,
OH,,IMIDAZOL,,-1840.8,
OH,,BTI,,56.298,
CH3OH,,H2O,,-180.95,
CH3OH,,ACOH,,-101.7,
CH3OH,,CH3CO~|~CH2CO,,23.39,
CH3OH,,CHO,,306.42,
CH3OH,,CH3COO~|~CH2COO,,-10.72,
CH3OH,,HCOO,,179.7,
CH3OH,,CH3O~|~CH2O~|~CHO~|~THF,,-128.6,
CH3OH,,CH3NH2~|~CH2NH2~|~CHNH2,,359.3,
CH3OH,,CH3NH~|~CH2NH~|~CHNH,,-20.98,
CH3OH,,CH3N~|~CH2N,,53.9,
CH3OH,,ACNH2,,489.7,
CH3OH,,C5H5N~|~C5H4N~|~C5H3N,,580.48,
CH3OH,,CH3CN~|~CH2CN,,53.28,
CH3OH,,COOH~|~HCOOH,,-202,
CH3OH,,CH2CL~|~CHCL~|~CCL,,-38.32,
CH3OH,,CH2CL2~|~CHCL2~|~CCL2,,-102.54,
CH3OH,,CHCL3~|~CCL3,,-139.35,
CH3OH,,CCL4,,-44.76,
CH3OH,,ACCL,,-28.25,
CH3OH,,CH3NO2~|~CH2NO2~|~CHNO2,,75.14,
CH3OH,,ACNO2,,457.88,
CH3OH,,CS2,,-31.09,
CH3OH,,CH3SH~|~CH2SH,,17.5,
CH3OH,,FURFURAL,,-61.76,
CH3OH,,DOH,,-119.2,
CH3OH,,I,,212.1,
CH3OH,,BR,,106.3,
CH3OH,,CH=-C~|~C=-C,,-119.1,
CH3OH,,DMSO,,-399.3,
CH3OH,,ACRY,,-5.224,
CH3OH,,CL-(C=C),,33.47,
CH3OH,,ACF,,-48.25,
CH3OH,,DMF~|~HCON(..,,-172.4,
CH3OH,,COO,,165.7,
CH3OH,,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,-52.1,
CH3OH,,CH3S~|~CH2S~|~CHS,,37.63,
CH3OH,,MORPH,,-59.4,
CH3OH,,C4H4S~|~C4H3S~|~C4H2S,,-46.01,
CH3OH,,(CH2)2SU~|~CH2CHSU,,150.02,
H2O,,ACOH,,324.5,
H2O,,CH3CO~|~CH2CO,,-195.4,
H2O,,CHO,,-116,
