Clapeyron Database File,,,,,,,
Antoine Like Parameters for saturation pressure,,,,,,,
CAS,species,A,B,C,Tmin,Tmax,source
543-59-9,1-chloropentane,8.93641,1271.16,215.0,283.72,407.81,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
109-66-0,pentane~|~n-pentane,8.97786,1064.84,232.014,228.71,330.75,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
78-78-4,isopentane~|~methylbutane~|~2-methylbutane,8.92023,1022.88,233.46,221.72,322.32,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
463-82-1,"neopentane~|~2,2-dimethylpropane",8.83916,938.234,235.249,259.33,303.08,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
71-41-0,1-pentanol~|~pentan-1-ol,9.396460000000001,1336.01,166.32,326.01,433.05,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
6032-29-7,2-pentanol~|~pentan-2-ol,9.423490000000001,1291.212,173.13,298.12,383.34,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
137-32-6,2-methyl-1-butanol,9.48266,1360.367,173.22,298.12,393.7,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-85-4,tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol,8.6442,863.4,135.3,299.0,396.11,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
123-51-3,isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,9.07851,1128.19,146.47,321.9,425.34,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
628-32-0,ethyl propyl ether,8.83648,1052.47,210.88,252.4,359.96,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
541-31-1,3-methyl-1-butanethiol,9.03981,1342.509,214.446,292.6,417.78,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-90-7,chlorobenzene~|~monochlorobenzene,9.02012,1378.79,211.7,302.5,432.18,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
71-43-2,benzene,8.98523,1184.24,217.572,279.64,377.06,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-95-2,phenol,9.2696,1523.42,175.4,353.0,481.62,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
62-53-3,aniline,9.4087,1692.77,200.44,349.86,484.81,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
109-06-8,2-methylpyridine (2-picoline),9.1555,1415.41,211.73,303.19,428.63,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-99-6,3-picoline~|~3-methylpyridine,9.1893,1492.13,212.53,314.03,444.37,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-89-4,4-methylpyridine,9.1675,1481.571,210.65,315.05,445.68,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
110-82-7,cyclohexane,8.930019999999999,1182.774,220.618,282.11,378.46,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
96-37-7,methylcyclopentane,9.181989999999999,1295.543,238.39,255.06,368.58,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
592-41-6,hexene~|~1-hexene~|~hex-1-ene,8.9826,1148.62,225.34,249.98,359.8,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
691-37-2,4-methyl-1-pentene,8.96019,1121.302,229.687,241.6,349.9,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
591-78-6,2-hexanone,9.1533,1395.8,208.98,302.68,426.5,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
589-38-8,3-hexanone,9.116579999999999,1359.88,207.3,299.6,422.25,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-10-1,4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,8.8222,1190.6904,195.45,293.4,415.85,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
105-54-4,ethylbutyrate~|~ethyl butanoate~|~ethyl n-butyrate,8.274560000000001,921.56,160.38,298.0,422.69,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
106-36-5,propylpropionate~|~propyl propanoate~|~n-propyl propanoate~|~n-propyl propionate~|~propanoic acid propyl ester,9.4489,1545.3,225.3,299.2,420.4,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
123-86-4,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,9.5,1596.7,229.3,301.0,424.11,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
110-19-0,isobutyl acetate~|~2-methylpropyl ethanoate~|~aceticacid-2-methylpropylester,9.3546,1462.4,219.7,295.0,414.22,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
110-45-2,isoamyl formate~|~3-methylbutyl methanoate,9.2488,1439.4,215.1,300.0,422.66,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
110-54-3,hexane~|~n-hexane,9.00139,1170.875,224.317,254.24,365.25,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
