Clapeyron Database File
PCPSAFT Assoc Parameters; Esper et al. (2023) [csvtype = assoc]
species1,site1,species2,site2,bondvol,epsilon_assoc,source
hydracrylonitrile~|~ethylenecyanohydrin~|~3-hydroxypropanenitrile,a,hydracrylonitrile~|~ethylenecyanohydrin~|~3-hydroxypropanenitrile,b,0.00275,2642.77281,10.1021/acs.iecr.3c02255
o-anisidine,a,o-anisidine,b,0.0001,2988.56172,10.1021/acs.iecr.3c02255
p-phenetidine~|~4-ethoxybenzeneamine,a,p-phenetidine~|~4-ethoxybenzeneamine,b,0.00285,2506.43577,10.1021/acs.iecr.3c02255
eugenol,a,eugenol,b,0.01615,2327.01906,10.1021/acs.iecr.3c02255
cl2~|~chlorine,a,cl2~|~chlorine,b,0.00029,968.73217,10.1021/acs.iecr.3c02255
"2,2,2-trifluoroethanol",a,"2,2,2-trifluoroethanol",b,0.06634,1595.77038,10.1021/acs.iecr.3c02255
n-methylpropanamide,a,n-methylpropanamide,b,0.0001,200.0,10.1021/acs.iecr.3c02255
n-ethylacetamide,a,n-ethylacetamide,b,0.00116,3078.16009,10.1021/acs.iecr.3c02255
"1,3-butanediol",a,"1,3-butanediol",b,0.02784,1965.5371,10.1021/acs.iecr.3c02255
1-octanamine~|~n-octylamine,a,1-octanamine~|~n-octylamine,b,0.00559,1712.01041,10.1021/acs.iecr.3c02255
1-decanamine~|~n-decylamine,a,1-decanamine~|~n-decylamine,b,0.01438,1828.8274,10.1021/acs.iecr.3c02255
1-tridecanol~|~n-tridecanol,a,1-tridecanol~|~n-tridecanol,b,0.00192,2999.62581,10.1021/acs.iecr.3c02255
2-pyrrolidon~|~2-pyrrolidone~|~2-pyrrolidinone,a,2-pyrrolidon~|~2-pyrrolidone~|~2-pyrrolidinone,b,0.9,1037.8027,10.1021/acs.iecr.3c02255
p-toluidine~|~4-methylaniline~|~p-methylaniline,a,p-toluidine~|~4-methylaniline~|~p-methylaniline,b,0.0001,2913.62634,10.1021/acs.iecr.3c02255
"2,3-dichloro-1-propanol",a,"2,3-dichloro-1-propanol",b,0.00207,2724.29424,10.1021/acs.iecr.3c02255
dicyclohexylamine~|~cyclohexylcyclohexaneamine~|~n-cyclohexylcyclohexanamine~|~n-cyclohexylcyclohexaneamine,a,dicyclohexylamine~|~cyclohexylcyclohexaneamine~|~n-cyclohexylcyclohexanamine~|~n-cyclohexylcyclohexaneamine,b,0.0001,200.0,10.1021/acs.iecr.3c02255
"2,5-xylenol~|~2,5-dimethylphenol",a,"2,5-xylenol~|~2,5-dimethylphenol",b,0.05809,3815.9284,10.1021/acs.iecr.3c02255
"3,4-xylenol~|~3,4-dimethylphenol",a,"3,4-xylenol~|~3,4-dimethylphenol",b,0.01661,3308.57958,10.1021/acs.iecr.3c02255
o-tert-butylphenol~|~2-tert-butylphenol~|~2-tert-butyl-1-hydroxybenzene,a,o-tert-butylphenol~|~2-tert-butylphenol~|~2-tert-butyl-1-hydroxybenzene,b,0.00452,1424.40389,10.1021/acs.iecr.3c02255
acetol~|~1-hydroxy-2-propanone,a,acetol~|~1-hydroxy-2-propanone,b,0.00653,4215.04913,10.1021/acs.iecr.3c02255
pentylamine~|~n-pentylamine~|~1-pentanamine~|~1-aminopentane~|~1-pentylamine,a,pentylamine~|~n-pentylamine~|~1-pentanamine~|~1-aminopentane~|~1-pentylamine,b,0.15168,1005.52848,10.1021/acs.iecr.3c02255
perdeuteroacetic acid,a,perdeuteroacetic acid,b,0.9,1365.80862,10.1021/acs.iecr.3c02255
ethylaniline~|~n-ethylaniline~|~n-ethylaminobenzene,a,ethylaniline~|~n-ethylaniline~|~n-ethylaminobenzene,b,0.0001,2703.6272,10.1021/acs.iecr.3c02255
benzylamine~|~alpha-aminotoluene,a,benzylamine~|~alpha-aminotoluene,b,0.00625,2088.27465,10.1021/acs.iecr.3c02255
2-phenylethylamine~|~1-amino-2-phenyl-ethane,a,2-phenylethylamine~|~1-amino-2-phenyl-ethane,b,0.9,334.27483,10.1021/acs.iecr.3c02255
"tetraethylene glycol~|~3,6,9-trioxa-1,11-undecanediol~|~2,2'-oxybis(2,1-ethanediyloxy)bisethanol",a,"tetraethylene glycol~|~3,6,9-trioxa-1,11-undecanediol~|~2,2'-oxybis(2,1-ethanediyloxy)bisethanol",b,0.13605,3339.48959,10.1021/acs.iecr.3c02255
"pivalic acid~|~2,2-dimethylpropanoic acid~|~2,2-dimethyl-propanoic acid",a,"pivalic acid~|~2,2-dimethylpropanoic acid~|~2,2-dimethyl-propanoic acid",b,0.0001,3165.41239,10.1021/acs.iecr.3c02255
3-amino-1-propanol,a,3-amino-1-propanol,b,0.03196,3323.78041,10.1021/acs.iecr.3c02255
2-ethyl-1-butanol,a,2-ethyl-1-butanol,b,0.00014,3442.68364,10.1021/acs.iecr.3c02255
1-phenyl-2-propanol~|~a-methylbenzeneethanol,a,1-phenyl-2-propanol~|~a-methylbenzeneethanol,b,0.0001,2957.40741,10.1021/acs.iecr.3c02255
benzenepropanol~|~3-phenyl-1-propanol,a,benzenepropanol~|~3-phenyl-1-propanol,b,0.0001,3704.69064,10.1021/acs.iecr.3c02255
1-chloro-2-propanol,a,1-chloro-2-propanol,b,0.0011,2333.1914,10.1021/acs.iecr.3c02255
methylethanolamine~|~n-methylethanolamine~|~2-(methylamino)ethanol~|~2-(methylamino)-ethanol,a,methylethanolamine~|~n-methylethanolamine~|~2-(methylamino)ethanol~|~2-(methylamino)-ethanol,b,0.09324,1204.45109,10.1021/acs.iecr.3c02255
undecanoic acid~|~n-undecanoic acid,a,undecanoic acid~|~n-undecanoic acid,b,0.01926,2931.36764,10.1021/acs.iecr.3c02255
dodecylamine~|~1-dodecanamine~|~n-dodecylamine,a,dodecylamine~|~1-dodecanamine~|~n-dodecylamine,b,0.55636,2347.72321,10.1021/acs.iecr.3c02255
methylhydrazine,a,methylhydrazine,b,0.0001,200.0,10.1021/acs.iecr.3c02255
2-ethylphenol~|~o-ethylphenol,a,2-ethylphenol~|~o-ethylphenol,b,0.0001,3377.96343,10.1021/acs.iecr.3c02255
benzenethiol~|~phenyl mercaptan,a,benzenethiol~|~phenyl mercaptan,b,0.02456,1214.9047,10.1021/acs.iecr.3c02255
cyclohexanethiol~|~cyclohexyl mercaptan,a,cyclohexanethiol~|~cyclohexyl mercaptan,b,0.00225,1108.49129,10.1021/acs.iecr.3c02255
o-ethylaniline~|~2-ethylaniline~|~2-ethylbenzeneamine,a,o-ethylaniline~|~2-ethylaniline~|~2-ethylbenzeneamine,b,0.9,1128.19806,10.1021/acs.iecr.3c02255
m-ethylphenol~|~3-ethylphenol,a,m-ethylphenol~|~3-ethylphenol,b,0.03197,1678.33653,10.1021/acs.iecr.3c02255
2-phenylethanol,a,2-phenylethanol,b,0.00852,2561.71885,10.1021/acs.iecr.3c02255
"3-chloro-1,2-propanediol",a,"3-chloro-1,2-propanediol",b,0.0807,2819.56437,10.1021/acs.iecr.3c02255
"1,3-dichloro-2-propanol",a,"1,3-dichloro-2-propanol",b,0.00274,2458.75846,10.1021/acs.iecr.3c02255
"triethylenetetramine~|~n,n'-bis(2-aminoethyl)-1,2-ethanediamine~|~1,2-ethanediamine, n,n'-bis(2-aminoethyl)-",a,"triethylenetetramine~|~n,n'-bis(2-aminoethyl)-1,2-ethanediamine~|~1,2-ethanediamine, n,n'-bis(2-aminoethyl)-",b,0.00441,1443.05933,10.1021/acs.iecr.3c02255
dga~|~diglycolamine~|~2-aminoethoxyethanol~|~2-(2-aminoethoxy)ethanol,a,dga~|~diglycolamine~|~2-aminoethoxyethanol~|~2-(2-aminoethoxy)ethanol,b,0.03137,1052.47173,10.1021/acs.iecr.3c02255
"1,3-propanediamine~|~1,3-diaminopropane",a,"1,3-propanediamine~|~1,3-diaminopropane",b,0.01469,1317.29182,10.1021/acs.iecr.3c02255
dibenzylamine,a,dibenzylamine,b,0.0001,200.0,10.1021/acs.iecr.3c02255
3-heptanol,a,3-heptanol,b,0.00366,2424.04864,10.1021/acs.iecr.3c02255
2-heptanol,a,2-heptanol,b,0.00231,2938.00111,10.1021/acs.iecr.3c02255
butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan,a,butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan,b,0.01109,659.55224,10.1021/acs.iecr.3c02255
isobutyl mercaptan~|~iso-butylmercaptan~|~2-methyl-1-propanethiol,a,isobutyl mercaptan~|~iso-butylmercaptan~|~2-methyl-1-propanethiol,b,0.00164,1061.79222,10.1021/acs.iecr.3c02255
2-butanethiol~|~sec-butyl mercaptan,a,2-butanethiol~|~sec-butyl mercaptan,b,0.0001,1502.574,10.1021/acs.iecr.3c02255
"2,2,3,3,3-pentafluoropropanol",a,"2,2,3,3,3-pentafluoropropanol",b,0.00052,2938.58172,10.1021/acs.iecr.3c02255
1-hexanethiol~|~hexyl mercaptan~|~n-hexyl mercaptan,a,1-hexanethiol~|~hexyl mercaptan~|~n-hexyl mercaptan,b,0.32757,694.52847,10.1021/acs.iecr.3c02255
1-nonanethiol~|~nonyl mercaptan~|~n-nonyl mercaptan,a,1-nonanethiol~|~nonyl mercaptan~|~n-nonyl mercaptan,b,0.11315,2004.38786,10.1021/acs.iecr.3c02255
1-octanethiol~|~octyl mercaptan~|~n-octyl mercaptan,a,1-octanethiol~|~octyl mercaptan~|~n-octyl mercaptan,b,0.00605,1405.88447,10.1021/acs.iecr.3c02255
fluorine,a,fluorine,b,0.0001,304.45243,10.1021/acs.iecr.3c02255
"2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol~|~2,2,3,3,4,4,5,5,5-nonafluoro-1-pentanol",a,"2,2,3,3,4,4,5,5,5-nonafluoropentan-1-ol~|~2,2,3,3,4,4,5,5,5-nonafluoro-1-pentanol",b,0.00441,2515.8383,10.1021/acs.iecr.3c02255
heptylamine~|~1-heptanamine~|~n-heptylamine,a,heptylamine~|~1-heptanamine~|~n-heptylamine,b,0.02114,2365.06838,10.1021/acs.iecr.3c02255
"linalool~|~3,7-dimethyl-1,6-octadien-3-ol",a,"linalool~|~3,7-dimethyl-1,6-octadien-3-ol",b,0.00615,1928.38283,10.1021/acs.iecr.3c02255
"(e)-3,7-dimethyl-2,6-octadien-1-ol~|~trans-3,7-dimethyl-2,6-octadien-1-ol",a,"(e)-3,7-dimethyl-2,6-octadien-1-ol~|~trans-3,7-dimethyl-2,6-octadien-1-ol",b,0.00116,3326.92695,10.1021/acs.iecr.3c02255
"1,1-dihydroperfluoroheptanol~|~2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-1-heptanol",a,"1,1-dihydroperfluoroheptanol~|~2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-1-heptanol",b,0.00415,2605.40567,10.1021/acs.iecr.3c02255
"2-phenyl-2-propanol~|~aa-dimethyl-benzenemethanol~|~.alpha.,.alpha.-dimethylbenzyl alcohol",a,"2-phenyl-2-propanol~|~aa-dimethyl-benzenemethanol~|~.alpha.,.alpha.-dimethylbenzyl alcohol",b,0.00131,2991.18529,10.1021/acs.iecr.3c02255
"dipa~|~diisopropanolamine~|~1,1'-iminobis-2-propanol~|~n-(2-hydroxypropyl)-2-hydroxy-1-propanamine",a,"dipa~|~diisopropanolamine~|~1,1'-iminobis-2-propanol~|~n-(2-hydroxypropyl)-2-hydroxy-1-propanamine",b,0.0001,3117.26339,10.1021/acs.iecr.3c02255
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",a,"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",b,0.01103,2001.90542,10.1021/acs.iecr.3c02255
2-amino-2-methyl-1-propanol~|~2-amino-2-methylpropan-1-ol,a,2-amino-2-methyl-1-propanol~|~2-amino-2-methylpropan-1-ol,b,0.02336,1782.26459,10.1021/acs.iecr.3c02255
1-methoxy2-propanol~|~1-methoxy-2-propanol~|~propylene glycol monomethyl ether,a,1-methoxy2-propanol~|~1-methoxy-2-propanol~|~propylene glycol monomethyl ether,b,0.0001,200.0,10.1021/acs.iecr.3c02255
trimethylsilanol,a,trimethylsilanol,b,0.00126,2713.12926,10.1021/acs.iecr.3c02255
hexamethyl disilazane,a,hexamethyl disilazane,b,0.0001,200.0052,10.1021/acs.iecr.3c02255
tridecanoic acid~|~n-tridecanoic acid,a,tridecanoic acid~|~n-tridecanoic acid,b,0.00124,4246.25441,10.1021/acs.iecr.3c02255
pyruvic acid~|~2-oxo-propionic acid,a,pyruvic acid~|~2-oxo-propionic acid,b,0.09101,3105.16621,10.1021/acs.iecr.3c02255
2-methoxy1-propanol~|~2-methoxy propanol-1~|~2-methoxy-1-propanol,a,2-methoxy1-propanol~|~2-methoxy propanol-1~|~2-methoxy-1-propanol,b,0.00064,2213.11166,10.1021/acs.iecr.3c02255
methyl lactate~|~methyl 2-hydroxypropanoate~|~2-hydroxy-propanoicacid-methylester,a,methyl lactate~|~methyl 2-hydroxypropanoate~|~2-hydroxy-propanoicacid-methylester,b,0.00191,1741.34134,10.1021/acs.iecr.3c02255
ethyl lactate~|~dl-ethyl lactate~|~2-hydroxypropanoicacidethylester,a,ethyl lactate~|~dl-ethyl lactate~|~2-hydroxypropanoicacidethylester,b,0.00057,2232.62748,10.1021/acs.iecr.3c02255
alpha-terpineol~|~p-menth-1-en-8-ol,a,alpha-terpineol~|~p-menth-1-en-8-ol,b,0.0001,3469.2903,10.1021/acs.iecr.3c02255
propanamide~|~propionamide,a,propanamide~|~propionamide,b,0.00095,2913.43965,10.1021/acs.iecr.3c02255
thymol~|~3-methyl-6-isopropylphenol~|~1-methyl-3-hydroxy-5-isopropyl benzene,a,thymol~|~3-methyl-6-isopropylphenol~|~1-methyl-3-hydroxy-5-isopropyl benzene,b,0.0001,3840.06338,10.1021/acs.iecr.3c02255
3-methyl-1-butanethiol,a,3-methyl-1-butanethiol,b,0.03988,868.45706,10.1021/acs.iecr.3c02255
2-propoxyethanol~|~ethylene glycol monopropyl ether,a,2-propoxyethanol~|~ethylene glycol monopropyl ether,b,0.03898,2045.07106,10.1021/acs.iecr.3c02255
glycol monoacetate~|~2-hydroxyethyl acetate,a,glycol monoacetate~|~2-hydroxyethyl acetate,b,0.0001,1761.6974,10.1021/acs.iecr.3c02255
acetone cyanohydrin~|~2-hydroxy-2-methylpropionitrile,a,acetone cyanohydrin~|~2-hydroxy-2-methylpropionitrile,b,0.0001,2503.36442,10.1021/acs.iecr.3c02255
hydroxyacetonitrile,a,hydroxyacetonitrile,b,0.00288,4833.4376,10.1021/acs.iecr.3c02255
"2,6-dimethylpiperidine",a,"2,6-dimethylpiperidine",b,0.05258,1235.41767,10.1021/acs.iecr.3c02255
isoamyl lactate,a,isoamyl lactate,b,0.01101,1163.29163,10.1021/acs.iecr.3c02255
allylamine~|~2-propen-1-amine~|~3-amino-1-propene,a,allylamine~|~2-propen-1-amine~|~3-amino-1-propene,b,0.0001,2274.27781,10.1021/acs.iecr.3c02255
levulinic acid~|~4-oxopentanoic acid~|~4-oxo-pentanoic acid,a,levulinic acid~|~4-oxopentanoic acid~|~4-oxo-pentanoic acid,b,0.00044,5000.0,10.1021/acs.iecr.3c02255
3-methyl-1-pentanol,a,3-methyl-1-pentanol,b,0.00113,2982.945,10.1021/acs.iecr.3c02255
4-methyl-1-pentanol,a,4-methyl-1-pentanol,b,0.00036,3198.82263,10.1021/acs.iecr.3c02255
"demea~|~(diethylamino)ethanol~|~n,n-diethylethanolamine~|~2-(diethylamino)-ethanol",a,"demea~|~(diethylamino)ethanol~|~n,n-diethylethanolamine~|~2-(diethylamino)-ethanol",b,0.00317,1954.28866,10.1021/acs.iecr.3c02255
diisobutylamine~|~2-methyl-n-(2-methylpropyl)-1-propanamine,a,diisobutylamine~|~2-methyl-n-(2-methylpropyl)-1-propanamine,b,0.09955,2578.37722,10.1021/acs.iecr.3c02255
"pentafluorophenol~|~2,3,4,5,6-pentafluorophenol",a,"pentafluorophenol~|~2,3,4,5,6-pentafluorophenol",b,0.0001,2445.77688,10.1021/acs.iecr.3c02255
m-tolualcohol~|~m-methylbenzylalcohol~|~3-methylbenzyl alcohol,a,m-tolualcohol~|~m-methylbenzylalcohol~|~3-methylbenzyl alcohol,b,0.0001,3158.02548,10.1021/acs.iecr.3c02255
cinnamic acid~|~trans-cinnamic acid,a,cinnamic acid~|~trans-cinnamic acid,b,0.01328,5000.0,10.1021/acs.iecr.3c02255
"linolenic acid~|~9,12,15-octadecatrienoic acid",a,"linolenic acid~|~9,12,15-octadecatrienoic acid",b,0.00206,3789.84501,10.1021/acs.iecr.3c02255
"linoleic acid~|~(z,z)-9,12-octadecadienoic acid",a,"linoleic acid~|~(z,z)-9,12-octadecadienoic acid",b,0.00109,4063.6129,10.1021/acs.iecr.3c02255
arachidic acid~|~eicosanoic acid,a,arachidic acid~|~eicosanoic acid,b,0.00463,3405.5317,10.1021/acs.iecr.3c02255
methyl 2-hydroxy-2-methylpropanoate~|~alpha-hydroxy-isobutyric acid methyl ester,a,methyl 2-hydroxy-2-methylpropanoate~|~alpha-hydroxy-isobutyric acid methyl ester,b,0.02819,2156.91415,10.1021/acs.iecr.3c02255
"2,6-dimethyl-4-heptanol",a,"2,6-dimethyl-4-heptanol",b,0.00178,3475.76808,10.1021/acs.iecr.3c02255
2-sec-butylphenol~|~2-(1-methylpropyl)phenol,a,2-sec-butylphenol~|~2-(1-methylpropyl)phenol,b,0.00026,2646.39987,10.1021/acs.iecr.3c02255
"diethylenetriamine~|~di(2-aminoethyl)amine~|~(2-aminoethyl)-1,2-ethanediamine~|~n-(2-aminoethyl)-1,2-ethanediamine",a,"diethylenetriamine~|~di(2-aminoethyl)amine~|~(2-aminoethyl)-1,2-ethanediamine~|~n-(2-aminoethyl)-1,2-ethanediamine",b,0.02545,767.85184,10.1021/acs.iecr.3c02255
3-chloro-1-propanol,a,3-chloro-1-propanol,b,0.0001,3248.51627,10.1021/acs.iecr.3c02255
tert-butyl mercaptan~|~2-methyl-2-propanethiol,a,tert-butyl mercaptan~|~2-methyl-2-propanethiol,b,0.00653,873.43796,10.1021/acs.iecr.3c02255
4-methoxyphenol~|~p-methoxyphenol,a,4-methoxyphenol~|~p-methoxyphenol,b,0.00212,3046.93194,10.1021/acs.iecr.3c02255
2-(2-hexoxyethoxy)ethanol~|~2-2-(hexyloxy)ethoxyethanol~|~2-(2-hexyloxyethoxy)ethanol~|~diethylene glycol n-hexyl ether,a,2-(2-hexoxyethoxy)ethanol~|~2-2-(hexyloxy)ethoxyethanol~|~2-(2-hexyloxyethoxy)ethanol~|~diethylene glycol n-hexyl ether,b,0.00288,5000.0,10.1021/acs.iecr.3c02255
pentadecanoic acid~|~n-pentadecanoic acid,a,pentadecanoic acid~|~n-pentadecanoic acid,b,0.00635,3328.43576,10.1021/acs.iecr.3c02255
margarinic acid~|~heptadecanoic acid~|~n-heptadecanoic acid,a,margarinic acid~|~heptadecanoic acid~|~n-heptadecanoic acid,b,0.00669,3372.71486,10.1021/acs.iecr.3c02255
isopropanolamine~|~1-amino-2-propanol,a,isopropanolamine~|~1-amino-2-propanol,b,0.00551,2032.33118,10.1021/acs.iecr.3c02255
tripropylene glycol~|~2-[2-(2-hydroxypropoxy)propoxy]-1-propanol,a,tripropylene glycol~|~2-[2-(2-hydroxypropoxy)propoxy]-1-propanol,b,0.32271,1827.19417,10.1021/acs.iecr.3c02255
"2,6-di-tert-butyl-p-cresol~|~2,6-di-tert.butyl-4-methylphenol~|~2,6-bis(1,1-dimethylethyl)-4-methylphenol",a,"2,6-di-tert-butyl-p-cresol~|~2,6-di-tert.butyl-4-methylphenol~|~2,6-bis(1,1-dimethylethyl)-4-methylphenol",b,0.00864,2360.55561,10.1021/acs.iecr.3c02255
2-tert-butyl-4-methylphenol,a,2-tert-butyl-4-methylphenol,b,0.05893,3149.81981,10.1021/acs.iecr.3c02255
fluorosulfonic acid,a,fluorosulfonic acid,b,0.0001,200.0,10.1021/acs.iecr.3c02255
n-butyl lactate~|~butyl 2-hydroxypropanoate,a,n-butyl lactate~|~butyl 2-hydroxypropanoate,b,0.00154,1506.24418,10.1021/acs.iecr.3c02255
imidazole~|~1h-imidazole,a,imidazole~|~1h-imidazole,b,0.9,2864.98261,10.1021/acs.iecr.3c02255
cyclooctanol,a,cyclooctanol,b,0.0001,3998.12506,10.1021/acs.iecr.3c02255
"1,2-ethanedithiol",a,"1,2-ethanedithiol",b,0.0014,1553.71284,10.1021/acs.iecr.3c02255
dihexylamine,a,dihexylamine,b,0.10559,2340.8518,10.1021/acs.iecr.3c02255
"1-tert-butoxy-2-propanol~|~1-(1,1-dimethylethoxy)-2-propanol~|~propylene glycol 1-tert-butyl ether",a,"1-tert-butoxy-2-propanol~|~1-(1,1-dimethylethoxy)-2-propanol~|~propylene glycol 1-tert-butyl ether",b,0.00277,1753.34913,10.1021/acs.iecr.3c02255
"1-butoxy-2-propanol~|~propylene glycol n-butyl ether~|~1,2-propylene glycol 1-monobutylether",a,"1-butoxy-2-propanol~|~propylene glycol n-butyl ether~|~1,2-propylene glycol 1-monobutylether",b,0.00044,2775.91852,10.1021/acs.iecr.3c02255
"3,7-dimethyl-6-octen-1-yn-3-ol",a,"3,7-dimethyl-6-octen-1-yn-3-ol",b,0.00134,2384.37607,10.1021/acs.iecr.3c02255
"1,2-pentanediol",a,"1,2-pentanediol",b,0.0032,2318.50611,10.1021/acs.iecr.3c02255
tetradecylamine~|~1-tetradecanamine~|~n-tetradecylamine,a,tetradecylamine~|~1-tetradecanamine~|~n-tetradecylamine,b,0.0001,3188.34288,10.1021/acs.iecr.3c02255
dioctylamine~|~di-n-octylamine~|~octyl-1-octanamine~|~n-octyl-1-octanamine,a,dioctylamine~|~di-n-octylamine~|~octyl-1-octanamine~|~n-octyl-1-octanamine,b,0.2617,2062.82318,10.1021/acs.iecr.3c02255
2-methyl-3-heptanol~|~2-methyl-heptanol-3,a,2-methyl-3-heptanol~|~2-methyl-heptanol-3,b,0.0001,3920.01087,10.1021/acs.iecr.3c02255
diamylamine~|~dipentylamine~|~pentyl-1-pentanamine~|~n-pentyl-1-pentanamine,a,diamylamine~|~dipentylamine~|~pentyl-1-pentanamine~|~n-pentyl-1-pentanamine,b,0.05686,4342.09561,10.1021/acs.iecr.3c02255
2-methyl-2-butanethiol~|~2-methyl-2-butyl mercaptan,a,2-methyl-2-butanethiol~|~2-methyl-2-butyl mercaptan,b,0.01772,967.97722,10.1021/acs.iecr.3c02255
"1,2-butanediol",a,"1,2-butanediol",b,0.04893,1568.382,10.1021/acs.iecr.3c02255
"1,2-hexanediol",a,"1,2-hexanediol",b,0.0186,2347.36976,10.1021/acs.iecr.3c02255
"n-hydroxydiethylamine~|~n,n-diethylhydroxylamine",a,"n-hydroxydiethylamine~|~n,n-diethylhydroxylamine",b,0.00597,1812.50102,10.1021/acs.iecr.3c02255
nonadecanoic acid,a,nonadecanoic acid,b,0.00749,3264.01125,10.1021/acs.iecr.3c02255
2-nonanol,a,2-nonanol,b,0.00297,2649.9291,10.1021/acs.iecr.3c02255
cyclopentanamine~|~cyclopentylamine,a,cyclopentanamine~|~cyclopentylamine,b,0.02788,1661.37696,10.1021/acs.iecr.3c02255
1-methylcyclopentanol,a,1-methylcyclopentanol,b,0.0001,3251.41079,10.1021/acs.iecr.3c02255
1-methylcyclohexanol,a,1-methylcyclohexanol,b,0.0001,200.0,10.1021/acs.iecr.3c02255
ammonia-d3,a,ammonia-d3,b,0.9,1233.55723,10.1021/acs.iecr.3c02255
8-quinolinol~|~8-hydroxyquinoline,a,8-quinolinol~|~8-hydroxyquinoline,b,0.00015,3015.34258,10.1021/acs.iecr.3c02255
"3-dimethylaminopropylamine~|~3-n,n-dimethylaminopropylamine~|~n,n-dimethyl-1,3-propanediamine",a,"3-dimethylaminopropylamine~|~3-n,n-dimethylaminopropylamine~|~n,n-dimethyl-1,3-propanediamine",b,0.00722,1662.47489,10.1021/acs.iecr.3c02255
n-aminoethyl ethanolamine~|~n-(2-aminoethyl)ethanolamine~|~2-(2-aminoethyl)aminoethanol,a,n-aminoethyl ethanolamine~|~n-(2-aminoethyl)ethanolamine~|~2-(2-aminoethyl)aminoethanol,b,0.00583,1962.86684,10.1021/acs.iecr.3c02255
5-nonanol,a,5-nonanol,b,0.0001,3031.99443,10.1021/acs.iecr.3c02255
2-hexyl mercaptan,a,2-hexyl mercaptan,b,0.01942,1147.58996,10.1021/acs.iecr.3c02255
1-heptanethiol~|~heptyl mercaptan~|~n-heptyl mercaptan,a,1-heptanethiol~|~heptyl mercaptan~|~n-heptyl mercaptan,b,0.07962,1609.12075,10.1021/acs.iecr.3c02255
1-pentanethiol~|~pentyl mercaptan~|~n-pentyl mercaptan,a,1-pentanethiol~|~pentyl mercaptan~|~n-pentyl mercaptan,b,0.02376,845.14226,10.1021/acs.iecr.3c02255
n-methylpiperazine~|~1-methylpiperazine,a,n-methylpiperazine~|~1-methylpiperazine,b,0.00641,1651.20884,10.1021/acs.iecr.3c02255
2-methyl-1-heptanol,a,2-methyl-1-heptanol,b,0.0001,3402.33868,10.1021/acs.iecr.3c02255
6-methyl-3-heptanol,a,6-methyl-3-heptanol,b,0.0001,2713.91691,10.1021/acs.iecr.3c02255
"2,4,6-trichlorophenol",a,"2,4,6-trichlorophenol",b,0.9,2887.21693,10.1021/acs.iecr.3c02255
2'-hydroxyacetophenone~|~1-(2-hydroxyphenyl)ethanone,a,2'-hydroxyacetophenone~|~1-(2-hydroxyphenyl)ethanone,b,0.0322,1154.32373,10.1021/acs.iecr.3c02255
benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene,a,benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene,b,0.65233,2046.30878,10.1021/acs.iecr.3c02255
2-(hydroxymethyl)-thiophene,a,2-(hydroxymethyl)-thiophene,b,0.0001,2842.48293,10.1021/acs.iecr.3c02255
cyclopropanecarboxylic acid,a,cyclopropanecarboxylic acid,b,0.00172,2132.13444,10.1021/acs.iecr.3c02255
acetaldoxime,a,acetaldoxime,b,0.20148,1338.21076,10.1021/acs.iecr.3c02255
bis(3-aminopropyl)amine,a,bis(3-aminopropyl)amine,b,0.05812,2392.33892,10.1021/acs.iecr.3c02255
cyclopropanamine~|~cyclopropylamine,a,cyclopropanamine~|~cyclopropylamine,b,0.9,2038.01323,10.1021/acs.iecr.3c02255
"n-methylpropane-1,3-diamine~|~1,3-propanediamine, n-methyl-",a,"n-methylpropane-1,3-diamine~|~1,3-propanediamine, n-methyl-",b,0.00066,1907.1663,10.1021/acs.iecr.3c02255
1-decanethiol~|~decyl mercaptan~|~n-decyl mercaptan,a,1-decanethiol~|~decyl mercaptan~|~n-decyl mercaptan,b,0.0067,1959.97515,10.1021/acs.iecr.3c02255
fluoroacetic acid,a,fluoroacetic acid,b,0.01093,4854.6917,10.1021/acs.iecr.3c02255
p-cumylphenol~|~4-(1-methyl-1-phenylethyl)phenol~|~4-(1-methyl-1-phenylethyl)-phenol,a,p-cumylphenol~|~4-(1-methyl-1-phenylethyl)phenol~|~4-(1-methyl-1-phenylethyl)-phenol,b,0.02678,3004.10076,10.1021/acs.iecr.3c02255
chlorosulfuric acid,a,chlorosulfuric acid,b,0.00218,4452.94999,10.1021/acs.iecr.3c02255
trans-crotonic-acid~|~trans-crotonic acid~|~trans-2-butenoic acid,a,trans-crotonic-acid~|~trans-crotonic acid~|~trans-2-butenoic acid,b,0.0001,3225.73362,10.1021/acs.iecr.3c02255
cyclobutanecarboxylic acid,a,cyclobutanecarboxylic acid,b,0.0001,3742.27779,10.1021/acs.iecr.3c02255
