OpenSAFT Database File;;;;;
RK Like Parameters;;;;;
species;DIPPR Number;Mw;Tc;pc;w
Trichloromethane;67663;119.377;536.4;5.55;0.228
Tetrachloromethane;56235;153.822;556.35;4.54;0.191
Bromomethane;74839;94.939;467;8;0.192
Fluoroethane;353366;48.06;375.31;5.01;0.218
Chloroethane;75003;64.514;460.35;5.46;0.206
Bromoethane;74964;108.966;503.8;6.29;0.259
1-Chloropropane;540545;78.541;503.15;4.58;0.228
2-Chloropropane;75296;78.541;489;4.51;0.196
1,1-Dichloropropane;78999;112.986;560;4.24;0.253
1,2-Dichloropropane;78875;112.986;572;4.23;0.256
Vinyl chloride;75014;62.499;432;5.75;0.106
Fluorobenzene;462066;96.104;560.09;4.54;0.247
Chlorobenzene;108907;112.558;632.35;4.53;0.251
Bromobenzene;108861;157.01;670.15;4.52;0.251
Air;132259100;28.951;132.45;3.79;0
Hydrogen;1333740;2.016;33.19;1.32;-0.215
Helium-4;7440597;4.003;5.2;0.23;-0.388
Neon;7440019;20.18;44.4;2.67;-0.038
Argon;7440371;39.948;150.86;4.9;0
Fluorine;7782414;37.997;144.12;5.17;0.053
Chlorine;7782505;70.905;417.15;7.79;0.073
Bromine;7726956;159.808;584.15;10.28;0.128
Oxygen;7782447;31.999;154.58;5.02;0.02
Nitrogen;7727379;28.014;126.2;3.39;0.037
Ammonia;7664417;17.031;405.65;11.3;0.253
Hydrazine;302012;32.045;653.15;14.73;0.315
Nitrous oxide;10024972;44.013;309.57;7.28;0.143
Nitric oxide;10102439;30.006;180.15;6.52;0.585
Cyanogen;460195;52.036;400.15;5.94;0.276
Carbon monoxide;630080;28.01;132.92;3.49;0.048
Carbon dioxide;124389;44.01;304.21;7.39;0.224
Carbon disulfide;75150;76.143;552;8.04;0.118
Hydrogen fluoride;7664393;20.006;461.15;6.49;0.383
Hydrogen chloride;7647010;36.461;324.65;8.36;0.134
Hydrogen bromide;10035106;80.912;363.15;8.46;0.069
Hydrogen cyanide;74908;27.026;456.65;5.35;0.407
Hydrogen sulfide;7783064;34.082;373.53;9;0.096
Sulfur dioxide;7446095;64.065;430.75;7.86;0.244
Sulfur trioxide;7446119;80.064;490.85;8.19;0.423
water;7732185;18.015;647.13;21.94;0.343
Krypton;;;209.48;5.525;0
