Clapeyron Database File,,,,,,,,
PCSAFT Like Parameters,,,,,,,,
species,DIPPR Number,Mw,segment,sigma,epsilon,n_H,n_e,source
"1,3-pentadiene~|~(z)-1,3-pentadiene~|~cis-1,3-pentadiene",305,68.12,2.4704,3.707,253.73,0,0,10.1016/j.fluid.2006.07.006
"(e)-1,3-pentadiene~|~trans-1,3-pentadiene",306,68.12,2.3591,3.7913,258.26,0,0,10.1016/j.fluid.2006.07.006
"1,4-pentadiene",307,68.12,2.3128,3.8357,246.23,0,0,10.1016/j.fluid.2006.07.006
"1,2-pentadiene",304,68.12,2.4867,3.6949,253.5,0,0,10.1016/j.fluid.2006.07.006
"2,3-pentadiene",308,68.12,2.7682,3.5581,241.21,0,0,10.1016/j.fluid.2006.07.006
"3-methyl-1,2-butadiene",311,68.12,2.6171,3.6389,242.43,0,0,10.1016/j.fluid.2006.07.006
3-methyl-1-butene,213,70.13,2.4541,3.8146,231.15,0,0,10.1016/j.fluid.2006.07.006
2-methyl-1-butene,212,70.13,2.6485,3.6924,231.13,0,0,10.1016/j.fluid.2006.07.006
2-methyl-2-butene,214,70.13,2.6431,3.6916,237.55,0,0,10.1016/j.fluid.2006.07.006
pentene~|~1-pentene,209,70.13,2.6006,3.7399,231.99,0,0,10.1021/ie0003887
"1,4-hexadiene",313,82.14,2.8076,3.7739,247.98,0,0,10.1016/j.fluid.2006.07.006
"1,5-hexadiene",310,82.14,2.606,3.8764,253.78,0,0,10.1016/j.fluid.2006.07.006
"2,4-hexadiene~|~cis,trans-2,4-hexadiene",320,82.14,2.892,3.7275,259.09,0,0,10.1016/j.fluid.2006.07.006
"trans,trans-2,4-hexadiene",314,82.14,2.9256,3.7198,256.16,0,0,10.1016/j.fluid.2006.07.006
3-methyl-1-pentene,222,84.16,2.6583,3.9175,245.25,0,0,10.1016/j.fluid.2006.07.006
"2,3-dimethyl-1-butene",230,84.16,2.9529,3.7347,247.15,0,0,10.1016/j.fluid.2006.07.006
2-methyl-1-pentene,221,84.16,2.8761,3.8011,241.33,0,0,10.1016/j.fluid.2006.07.006
2-methyl-2-pentene,224,84.16,2.9916,3.7446,240.24,0,0,10.1016/j.fluid.2006.07.006
4-methyl-1-pentene,223,84.16,2.7316,3.8841,241.15,0,0,10.1016/j.fluid.2006.07.006
"2,3-dimethyl-2-butene",232,84.16,2.9546,3.7334,247.03,0,0,10.1016/j.fluid.2006.07.006
2-ethyl-1-butene,229,84.16,2.9398,3.7577,240.63,0,0,10.1016/j.fluid.2006.07.006
(z)-2-hexene~|~cis-2-hexene,217,84.16,3.0051,3.7407,240.53,0,0,10.1016/j.fluid.2006.07.006
trans-2-hexene,218,84.16,2.9747,3.7693,241.09,0,0,10.1016/j.fluid.2006.07.006
cis-4-methyl-2-pentene~|~(z)-4-methyl-2-pentene~|~4-methyl-cis-2-pentene,227,84.16,2.8277,3.8311,238.83,0,0,10.1016/j.fluid.2006.07.006
(e)-4-methyl-2-pentene~|~4-methyl-trans-2-pentene,228,84.16,2.9017,3.8003,237.14,0,0,10.1016/j.fluid.2006.07.006
hexene~|~1-hexene~|~hex-1-ene,216,84.62,2.9853,3.7753,236.81,0,0,10.1021/ie0003887
1-heptene,234,98.0,3.3637,3.7898,240.62,0,0,10.1016/S0378-3812(03)00147-X
3-methyl-1-hexene,240,98.19,3.3079,3.8017,236.03,0,0,10.1016/j.fluid.2006.07.006
2-methyl-1-hexene,238,98.19,3.2338,3.8321,244.69,0,0,10.1016/j.fluid.2006.07.006
4-methyl-1-hexene,226,98.19,3.2965,3.7985,238.6,0,0,10.1016/j.fluid.2006.07.006
2-ethyl-1-pentene,233,98.19,3.0561,3.8958,254.37,0,0,10.1016/j.fluid.2006.07.006
3-ethyl-2-pentene,239,98.19,3.3065,3.7784,236.57,0,0,10.1016/j.fluid.2006.07.006
"trans-2-heptene~|~2-heptene, (e)-",236,98.19,3.2073,3.8565,249.79,0,0,10.1016/j.fluid.2006.07.006
"cis-2-heptene~|~2-heptene, (z)-",235,98.19,3.0679,3.9183,256.49,0,0,10.1016/j.fluid.2006.07.006
3-heptene~|~trans-3-heptene,237,98.19,3.8359,3.2596,246.08,0,0,10.1016/j.fluid.2006.07.006
cis-3-heptene,249,98.19,3.1306,3.8852,251.81,0,0,10.1016/j.fluid.2006.07.006
"2,5-dimethyl-1,5-hexadiene",329,110.2,3.369,3.8822,253.76,0,0,10.1016/j.fluid.2006.07.006
"2,5-dimethyl-2,4-hexadiene",330,110.2,3.449,3.8277,265.66,0,0,10.1016/j.fluid.2006.07.006
"2,4,4-trimethyl-1-pentene",256,112.21,3.065,4.0683,256.32,0,0,10.1016/j.fluid.2006.07.006
2-methyl-1-heptene,2252,112.21,3.4081,3.9348,253.96,0,0,10.1016/j.fluid.2006.07.006
"2,2,4-trimethyl-2-pentene~|~2,4,4-trimethyl-2-pentene",257,112.21,3.3401,3.9343,247.35,0,0,10.1016/j.fluid.2006.07.006
2-ethyl-1-hexene~|~3-methyleneheptane,258,112.21,3.4236,3.9141,254.18,0,0,10.1016/j.fluid.2006.07.006
(e)-2-octene~|~trans-2-octene,251,112.21,3.3323,3.9757,261.12,0,0,10.1016/j.fluid.2006.07.006
cis-2-octene,276,112.21,3.4103,3.9427,258.1,0,0,10.1016/j.fluid.2006.07.006
(e)-3-octene~|~trans-3-octene,277,112.21,3.3614,3.969,258.69,0,0,10.1016/j.fluid.2006.07.006
cis-3-octene,280,112.21,3.4131,3.9321,256.24,0,0,10.1016/j.fluid.2006.07.006
(e)-4-octene~|~trans-4-octene,279,112.21,3.3646,3.9683,257.89,0,0,10.1016/j.fluid.2006.07.006
(z)-4-octene~|~cis-4-octene,278,112.21,3.4444,3.9184,254.85,0,0,10.1016/j.fluid.2006.07.006
octene~|~1-octene~|~oct-1-ene,250,112.22,3.7424,3.8133,243.02,0,0,10.1021/ie0003887
1-nonene,259,126.0,3.99,3.8746,249.27,0,0,10.1016/S0378-3812(03)00147-X
1-decene,259,140.0,4.37,3.8908,250.35,0,0,10.1016/S0378-3812(03)00147-X
1-undecene,261,154.29,4.8572,3.8615,248.68,0,0,10.1016/j.fluid.2006.07.006
1-dodecene,262,168.0,4.988,3.947,255.14,0,0,10.1016/S0378-3812(03)00147-X
1-tridecene,263,182.35,5.6086,3.8861,250.46,0,0,10.1016/j.fluid.2006.07.006
1-tetradecene,264,196.0,5.7437,3.96,256.66,0,0,10.1016/S0378-3812(03)00147-X
1-pentadecene,265,210.4,6.3945,3.8951,251.16,0,0,10.1016/j.fluid.2006.07.006
1-hexadecene,266,224.0,6.5,3.9748,256.7,0,0,10.1016/S0378-3812(03)00147-X
1-heptadecene,281,238.45,6.962,3.9523,254.67,0,0,10.1016/j.fluid.2006.07.006
1-octadecene,267,252.48,7.2901,3.9687,255.58,0,0,10.1016/j.fluid.2006.07.006
1-nonadecene,283,266.51,7.8402,3.9359,253.51,0,0,10.1016/j.fluid.2006.07.006
1-eicosene,284,280.53,8.2012,3.9425,253.74,0,0,10.1016/j.fluid.2006.07.006
"cyclopentadiene~|~1,3-cyclopentadiene",315,66.1,1.9327,3.8126,294.29,0,0,10.1016/j.fluid.2006.07.006
cyclopentene,257,68.11,2.2934,3.6668,267.76,0,0,10.1021/ie0003887
"1,3-cyclohexadiene",331,80.13,2.5354,3.6946,280.68,0,0,10.1016/j.fluid.2006.07.006
methylcyclopentadiene,312,80.13,2.7727,3.5933,260.55,0,0,10.1016/j.fluid.2006.07.006
"1,4-cyclohexadiene",332,80.13,3.1349,3.3922,255.23,0,0,10.1016/j.fluid.2006.07.006
cyclohexene,270,82.14,2.4475,3.8085,287.44,0,0,10.1016/j.fluid.2006.07.006
methylcyclopentene~|~1-methylcyclopentene,286,82.14,2.7028,3.7044,264.5,0,0,10.1016/j.fluid.2006.07.006
cycloheptene,273,96.17,2.9438,3.7689,279.23,0,0,10.1016/j.fluid.2006.07.006
vinylcyclohexene,285,108.18,2.8461,3.9732,291.41,0,0,10.1016/j.fluid.2006.07.006
"1,5-cyclooctadiene",333,108.18,3.2217,3.7647,290.33,0,0,10.1016/j.fluid.2006.07.006
