Clapeyron Database File
Twu like parameters
species,DIPPR Number,L,M,N,source
9-hexylheptadecane,,1.563437,0.999463803,0.976333789,
"2,2-diphenyl-1,3-dioxolane",,1.416879,0.945563092,0.855251439,
3-butyl-4-hexylbicyclo[4.4.0]decane~|~2-butyl-3-hexyldecahydronaphthalene,,2.497106,0.923314652,0.446468639,
methyl valerate~|~methyl pentanoate,,1.185889,0.869088258,0.725187413,
1-fluoro-4-(trifluoromethyl)benzene,,0.567264,0.923662252,1.669643439,
trimethylamine,,0.62431,0.836239274,0.936112795,
hexene~|~1-hexene~|~hex-1-ene,,0.971295,0.908926493,0.78324822,
nonafluoropentanoyl chloride,,0.634999,0.767491565,1.334210879,
"dmpu~|~n,n'-dimethylpropylene urea~|~1,3-dimethyl-3,4,5,6-tetrahydro-2(1h)-pyrimidinone",,0.168876,0.819806174,3.114815273,
"1,7-diphenyl-4-(3-phenylpropyl)-3-heptene",,2.461018,0.937439676,0.550618401,
hydrogen sulfide,,0.897092,0.956503262,0.555633535,
"1,3-diphenyl-2-thiapropane",,1.39057,0.999958461,0.718134129,
2-bromoethyl 2-chloroethyl ether,,1.145288,0.999971695,0.841379383,
perfluoropentanoic acid,,1.187648,0.950789047,1.337372714,
"cyclopentadiene~|~1,3-cyclopentadiene",,0.362076,0.892538313,1.6510757,
1-nitrobutane,,0.632798,0.782399694,1.225438252,
n-methylpiperidine,,1.584093,0.464603945,0.400556658,
"trans-1,2-dimethylcyclohexane~|~(1r,2r)-1,2-dimethylcyclohexane",,0.379906,0.830577729,1.559317222,
3-methoxypropionitrile~|~3-methoxypropanenitrile,,1.151444,0.999920438,0.843326603,
1-bromo-2-chlorobenzene,,1.102629,0.999995346,0.741704676,
trichloroethene~|~trichloroethylene,,0.444794,0.820239306,1.273824089,
"n-butyl methacrylate~|~butyl 2-methyl-2-propenoate~|~methacrylic acid, butyl ester~|~2-methyl-2-propenoicacidbutylester",,0.362966,0.836520378,2.422367889,
1-bromo-3-iodobenzene,,1.417478,0.97417365,0.506032779,
"2-(methoxy)-1,1,2,2-tetrafluoroethane",,1.173476,0.805397866,0.774232958,
3-methyl-5-(pentanoyloxy)phenyl pentanoate,,0.942261,0.8916726,1.991483939,
cycloheptane,,0.330581,0.832762225,1.649580011,
octyl propanoate,,0.357593,0.826950192,2.964332612,
tert-butyl chloride~|~2-chloro-2-methylpropane,,0.183948,0.852373106,2.511674436,
"1,2-propanediamine",,0.365014,0.844737343,2.469172579,
1-butyl-2-methyl-1h-imidazole,,0.514761,0.00091579,0.571159442,
"r123a~|~1,2-dichloro-1,1,2-trifluoroethane~|~1,2-dichloro-1,2,2-trifluoroethane",,0.400303,0.826802372,1.529418988,
"3,3-dimethyl-1-butyne",,0.418835,0.980645691,1.108153142,
"1,1-dimethylcyclopentane",,1.402023,0.999999304,0.469644917,
2-methyl-1-heptene,,0.518618,0.918859237,1.713559079,
(1-octylnonyl)cyclohexane,,1.206244,0.946205363,1.382964544,
acetophenone~|~methyl phenyl ketone,,0.211167,0.83662489,2.77756659,
dimethyl ether,,0.831218,0.88807295,0.744607299,
p-ethyltoluene~|~1-ethyl-4-methylbenzene,,0.400126,0.843756777,1.851050978,
chloroacetic acid~|~chloroethanoic acid,,0.814773,0.831232686,1.390861774,
2-vinyltoluene~|~o-methylstyrene~|~1-methyl-2-vinylbenzene~|~1-ethenyl-2-methylbenzene,,1.130823,0.952302824,0.730337437,
2-azidoethanol,,1.188065,0.899558896,0.82425024,
2-cyclohexyleicosane,,1.691354,0.986002542,1.074809619,
(2-bromoethyl)benzene,,0.894301,0.972022329,1.164984366,
methyl para-toluate~|~methyl 4-methylbenzoate~|~4-methyl-benzoicacidmethylester,,0.420496,0.858475864,2.418862619,
mdm~|~octamethyltrisiloxane,,1.352529,0.913462593,0.80674813,
2-methoxypropene,,0.127765,0.839763518,2.720816778,
"1-methyl-3,5-bis(2-methylpropoxy)benzene",,2.344579,0.692221591,0.647363366,
5-butylnonane,,0.958741,0.957698831,1.27384857,
r41~|~fluoromethane~|~methyl fluoride,,0.227005,0.87698938,2.164400782,
propyl hexanoate,,0.331747,0.823466415,2.740000462,
r11~|~cfcl3~|~trichlorofluoromethane,,0.744478,0.862185092,0.791574576,
methyl 4-tert-butylbenzoate,,1.193458,0.999841471,0.978699995,
ethyl trifluoroacetate,,0.764654,0.946068335,1.383983807,
2-ethoxyethyl acetate~|~2-ethoxyethanolacetate~|~2-ethoxyethyl ethanoate~|~ethylene glycol monoethyl ether acetate,,0.262441,0.825347038,2.996836879,
"2,2,3-trimethylpentane",,1.369905,0.999998271,0.556668818,
3-hexyne,,0.498679,0.839643158,1.465861403,
"2,3-dimethyl-2-butene",,0.524966,0.846175898,1.317713894,
"1,1,5-trichloro-1-(2-chloro-1,1,2,3,3,3-hexafluoropropoxy)-2,2,3,3,4,4,5,5-octafluoropentane",,0.625866,0.884289776,2.077044547,
m-chloronitrobenzene~|~3-chloronitrobenzene~|~1-chloro-3-nitrobenzene,,0.840602,0.872615712,1.078687587,
"1,2,3,4,6,7,8,9-octahydrophenazine",,0.439635,0.818635286,2.310689324,
2-bromo-1-isobutoxy-4-methylbenzene,,1.34347,0.998793524,0.860480042,
3-methoxythiophene,,0.537014,0.872559303,1.813336796,
methanethiol~|~methyl mercaptan,,0.805523,0.885704564,0.68628974,
dibenzothiophene,,0.55403,0.821467018,1.412003343,
1-cyclopentyl-4-(3-cyclopentylpropyl)dodecane,,1.116602,0.923384814,1.67142445,
7-butyl-1-hexylnaphthalene,,1.511043,0.999235812,0.846893004,
2-nonanone,,0.370356,0.814449973,2.276602724,
2-phenylpyridine,,1.342172,0.999986804,0.682304997,
3-fluorotoluene~|~1-fluoro-3-methylbenzene,,1.093155,0.999741904,0.721821843,
methylethylether~|~ethyl methyl ether,,1.546914,0.953351137,0.437559269,
1-chloro-2-fluoroethane,,1.696742,0.87587096,0.435709966,
cyanogen~|~ethanedinitrile,,0.214426,0.838912629,2.381999679,
5-nonanone,,1.098193,0.903110207,0.966516578,
"butyl 2,2-dimethylpropanoate",,0.8576,0.809114587,1.055541217,
2-norbornene~|~bicyclo[2.2.1]hept-2-ene,,0.740062,0.999316304,0.92669555,
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane,,1.52642,0.999500107,0.602097806,
3-methylisoquinoline,,1.343972,0.965033531,0.692060272,
1-(2-aminoethyl)-4-methyl-piperazine,,2.200747,0.765047079,0.446891167,
"3-heptene,(e)-",,0.528046,0.920010078,1.702696376,
"ethyl 1,1,3,3-tetramethylbutyl ether",,1.054401,0.884830726,0.928144426,
1-chloro-4-vinylbenzene,,1.355517,0.983478965,0.567504816,
(e)-2-hexenal,,0.543771,0.919518741,1.707649768,
methyl methacrylate~|~methacrylic acid methyl ester,,0.341921,0.840233843,2.308357703,
"1,4-dimethyl-5-(1-decyl-1-undecenyl)benzene",,1.827005,0.925309939,0.942304438,
cyclobutanone,,1.044587,0.999588299,0.699547755,
"1,3-dioxolane",,0.748559,0.850495079,0.946831645,
tame~|~methyl-tert-amylether~|~methyl tert-amyl ether~|~methyl tert-pentyl ether~|~2-methoxy-2-methylbutane,,0.114842,0.828350246,2.935515518,
benzyl tert-amyl ether,,1.500797,0.949325045,0.6151104,
"1,7-dicyclopentyl-4-(3-cyclopentylpropyl)heptane",,0.999859,0.903346775,1.866081181,
"1,1,1,3,3,3-hexafluoro-2-propanol",,1.059908,0.41644848,1.073591891,
"2,2-diisopropyl-1,3-dioxolane",,1.095507,0.989239429,0.958929017,
"4-vinyl-1,3-dioxane",,1.202174,0.94891087,0.709999792,
"(s)-3,7-dimethyl-6-octen-1-ol",,1.980167,0.832049263,0.641409012,
"3,3-dimethyl-2-butanone",,0.168869,0.837953981,2.737130032,
"2,2,4,4-tetramethylpentane",,0.526602,0.840665495,1.370121675,
r125~|~pentafluoroethane,,1.084531,0.998597625,0.741264386,
isobutylbenzene~|~2-methylpropyl benzene~|~(2-methylpropyl)benzene,,0.343581,0.837378484,2.074567035,
"1-amino-2,6-dimethylbenzene",,1.203881,0.987216161,0.869103933,
1-methylethyl benzoate,,0.205374,0.821883129,3.069785224,
"2,6-dimethyl-3-octylnaphthalene",,0.849992,0.891606682,1.992511042,
"1,4-dioxaspiro[4.4]nonane",,0.653633,0.902943215,1.546374034,
"1,3-pentanediamine",,0.22419,0.824141084,3.021530875,
ethoxyethanol~|~2-ethoxyethanol~|~2-ethoxyethan-1-ol,,1.233423,0.999903996,0.853630734,
1-methoxy2-propanol~|~1-methoxy-2-propanol~|~propylene glycol monomethyl ether,,1.376466,0.995962519,0.703730972,
"(e)-2,2,4,6,6-pentamethyl-3-heptene",,0.985079,0.927348027,1.613663142,
spiro[5.5]undecane,,0.659208,0.813393375,1.116895889,
2-methyl-1-octyl-1h-imidazole,,1.062012,0.555164152,0.762444059,
"2,3,4-trimethylpentane",,0.379292,0.81401226,1.635789827,
"2,4,6-trimethylstyrene",,1.337697,0.889238868,0.674240795,
"ether, benzyl tert-butyl",,1.254132,0.88551097,0.698943729,
ethylcyclohexane,,0.523013,0.846087752,1.326916082,
2-dimethylamino-1-ethylamine,,1.025824,0.998428693,1.006261512,
2-methyl-4-(1-methylethyl)phenol,,2.167483,0.921946784,0.470155531,
anisole~|~methoxybenzene~|~methyl phenyl ether,,0.358072,0.82059719,1.835171143,
2-amino-2-methyl-1-propanol~|~2-amino-2-methylpropan-1-ol,,1.068432,0.865815382,1.29676235,
"chroman~|~3,4-dihydro-2h-1-benzopyran",,1.2216,0.995761866,0.704481954,
"3,5-xylenol~|~3,5-dimethylphenol",,1.463717,0.833487029,0.717603893,
9-methyl-9h-carbazole,,1.274051,0.999905683,0.880765259,
2-methylbutyl ethanoate,,0.643242,0.92319393,1.673901772,
"diethylmethylamine~|~methyl diethyl amine~|~n,n-diethylmethylamine",,1.057841,0.897618571,0.702347333,
"methyl 3,3-dimethylbutanoate",,0.310735,0.84140493,2.692441125,
piperidine,,0.825484,0.823013165,0.815726906,
methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,,0.367632,0.79493541,1.797848976,
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",,0.464667,0.827231125,1.46154866,
cyclopentane,,0.938569,0.909443521,0.662595698,
(3-octylundecyl)benzene~|~9-(2-phenylethyl)heptadecane,,1.309155,0.950289165,1.340908015,
1-hexen-3-ol,,2.609796,0.856043116,0.391861983,
water,,0.532354,0.878018035,1.491389211,
octane~|~n-octane,,0.351758,0.824878278,2.054953501,
n-decyl levulinate,,0.768448,0.864852728,2.327266573,
tin(iv) chloride~|~stannic chloride~|~tin tetrachloride,,0.14693,0.840958966,2.700432172,
"2,3-dimethylnaphthalene",,0.510287,0.825679569,1.673932962,
"2,5,6-trimethyl-2-cyclohexen-1-one",,0.259491,0.842538379,2.630710657,
1-heptyne,,0.231206,0.847848701,2.584023678,
"chlorotrifluoroethylene~|~1-chloro-1,2,2-trifluroethene",,0.496188,0.830326475,1.222664696,
2-(ethylamino)ethanol~|~mono-ethyl-ethanolamine,,1.191198,0.737928711,0.808709608,
"1,3-dioxolane, 2-propyl-",,1.211345,0.914742641,0.731354605,
dichlorodimethylsilane~|~dimethyl dichlorosilane,,1.162603,0.999862906,0.640174286,
perfluorononanoic acid,,2.672525,0.97261116,0.595310676,
"4-ethyl-m-xylene~|~1-ethyl-2,4-dimethylbenzene",,0.363016,0.864767401,2.318053307,
1-p-propylphenyl-1-p-tolylethane,,0.737095,0.904342627,1.85588978,
1-butyl-1h-benzimidazole,,0.259073,0.761858958,1.996103549,
(2-chloroethyl) (2-chloroisopropyl) ether,,1.114578,0.999883053,0.890341158,
ethyl 3-methyl-2-butenoate,,0.595346,0.861107857,1.921249492,
(1-decylundecyl)cyclopentane,,1.180877,0.927734737,1.607532329,
sulfur dioxide,,0.388251,0.817619478,1.449635852,
"1,1,2,2-tetrafluoroethyl-trifluoromethylether~|~1,1,2,2-tetrafluoro-1-(trifluoromethoxy)ethane",,1.725929,0.975004844,0.534569401,
tert-butyl phenyl carbonate,,1.432121,0.942060064,0.742108263,
benzoylferrocene,,1.136808,0.961721323,1.230297038,
"1,3-dioxolane, 2-methyl-2-propyl-",,0.465359,0.630022203,1.032916378,
methyl octanoate~|~methyl caprylate~|~octanoic acid methyl ester,,1.038962,0.879319616,1.11552629,
"1,1-dicyclohexyltetradecane",,1.51726,0.818616574,1.105760901,
empenthrin,,0.607875,0.799059857,2.270767004,
"diethylenetriamine~|~di(2-aminoethyl)amine~|~(2-aminoethyl)-1,2-ethanediamine~|~n-(2-aminoethyl)-1,2-ethanediamine",,1.646897,0.99434238,0.576475273,
5-butyldocosane,,1.766617,0.999855511,0.980299669,
4-iodotoluene,,0.961508,0.999905377,0.928023444,
"gamma-heptanolactone~|~2(3h)-furanone, dihydro-5-propyl-",,0.43717,0.837975528,2.011137817,
"1,4-di-tert-butylbenzene~|~1,4-bis(1,1-dimethylethyl)benzene~|~1,4-bis(1,1-dimethylethyl)-benzene",,0.420084,0.794265624,1.958954248,
nonane~|~n-nonane,,0.536673,0.804173092,1.574822123,
1-propoxy-2-propanol~|~propylene glycol n-propyl ether,,1.585243,0.922306357,0.634499412,
"3-[(2,2-dimethylpropanoyl)oxy]-5-methylphenyl 2,2-dimethylpropanoate",,1.748188,0.550978018,0.7529728,
difluoromethoxymethane,,2.175122,0.917210882,0.310665515,
"1,3-cyclohexadiene",,1.22488,0.972106407,0.535204894,
isobutyl dodecanoate,,0.422576,0.819629933,3.118872344,
3-methylhexane~|~3-methyl-hexane,,0.550003,0.817739877,1.281387508,
azacyclobutane,,0.597054,0.923688525,1.669405695,
"1,1,6,6-tetraphenylhexane",,2.160594,0.946305087,0.724531453,
methyl tridecanoate,,0.419275,0.823389885,3.037932322,
4-fluoro-phenyl-1h-imidazole,,1.014815,0.41729347,0.611046859,
hexyne~|~1-hexyne,,0.905423,0.999994266,0.885263466,
"3,5-di-tert-butyltoluene",,0.916875,0.856376635,1.162503006,
oxirane~|~ethyleneoxide,,0.557515,0.854271591,1.050689755,
"1,8-bis(dimethylamino)naphthalene",,0.758732,0.893142919,1.926363976,
"benzene, (trimethoxymethyl)-",,1.025195,0.876525047,0.882277006,
1h-perfluorooctane~|~1h-perfluoro-n-octane,,0.344042,0.830012678,2.902289705,
"2,2-dimethylpropionitrile~|~2,2-dimethylpropanenitrile",,0.240787,0.849946077,2.526205487,
"dioxane~|~p-dioxane~|~1,4-dioxane",,1.422817,0.999819873,0.508096166,
1-(methoxymethoxy)propane,,0.461543,0.802152993,1.654264754,
"(e)-1,2-dichloroethene",,0.231764,0.819370006,1.765585939,
2-methylpyrazine,,0.467519,0.835047998,1.488538779,
chcl3~|~chloroform~|~trichloromethane,,1.288364,0.999973439,0.504052532,
(e)-2-butene~|~trans-2-butene,,0.381056,0.845179545,1.415207632,
"2,4-bis(1-methylethyl)phenol",,1.682603,0.999952326,0.601718396,
1-chlorononane~|~1-nonylchloride,,0.442185,0.834906402,2.210086626,
(e)-2-butenal,,0.314438,0.844715774,1.987548174,
pentadecafluorooctanoic acid,,0.368954,0.785079943,4.069501102,
"4-methyl-1,3-dioxane",,1.554215,0.998923129,0.541191834,
"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",,0.609257,0.817920975,1.102716642,
2-chloropyridine,,0.921112,0.999949613,0.907237795,
1-phenylnaphthalene,,0.791143,0.831806071,1.285090051,
4-phenyl-2-butanone,,1.298774,0.998732454,0.801312616,
diphenyl chlorophosphate,,0.992572,0.999972834,0.841764708,
diphenyl ether,,0.229316,0.834154333,2.821926336,
3-cyclohexyleicosane,,0.995627,0.889938927,2.011403903,
"2,2,3,3,4,4,5,5-octafluoropentyl methacrylate",,0.238343,0.804555179,3.467066133,
3-methylhexanal~|~(.+-.)-3-methylhexanal,,0.607686,0.914546657,1.754708005,
"pyrocatechol~|~1,2-benzenediol~|~1,2-dihydroxybenzene",,0.800666,0.799060031,1.171189465,
r13~|~chlorotrifluoromethane,,1.347779,0.999676423,0.440494863,
p-chlorotoluene~|~4-chlorotoluene~|~1-chloro-4-methylbenzene,,0.67077,0.831788135,1.087225943,
"2h-pyran-2-one, tetrahydro-6-propyl-",,1.368908,0.998516445,0.69432382,
"2,4-dimethylhexane~|~2 4-dimethylhexane",,1.193327,0.999996681,0.71092231,
2-methylpropyl pentanoate,,0.739917,0.925748845,1.636631113,
1-cyanobicyclo[1.1.0]butane,,1.16566,0.770004175,0.656651752,
"2,3,5-trimethylhexane",,1.003132,0.894756819,0.85095775,
(2-decyldodecyl)cyclopentane,,1.330713,0.945457205,1.390147658,
1-adamantyl methyl ketone,,1.277834,0.767610618,0.573586858,
methyl nonanoate~|~nonanoic acid methyl ester,,0.37951,0.834477385,2.817716005,
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",,0.559174,0.831454501,1.298679882,
"1,1-diphenylheptane",,1.565986,0.999925308,0.778294793,
aluminum bromide,,0.173826,0.825823282,2.987327464,
ethyl pentafluoroethyl ether,,1.362743,0.429833392,0.71145986,
1-methoxy-3-methylbenzene,,0.212165,0.834632444,2.813203791,
"2,2,3,3,4,4,5,5,6,6,6-undecafluorohexan-1-ol",,2.062066,0.999895432,0.702111974,
1-(isopropyldithio)propane,,0.0,0.372040177,0.969540112,
.alpha.-ethylacrylonitrile,,0.409636,0.899548105,1.905921823,
allyl phenyl ether,,0.280323,0.757523122,1.930109659,
"3,4-dichloroaniline",,0.51159,0.879760582,2.072576776,
"(z)-1,3,5-hexatriene",,0.659701,0.825074456,1.034364758,
3-methyl-1-butene,,0.476882,0.859336798,1.242904527,
5-methylundecane,,0.709087,0.907921922,1.819632234,
2-heptanone,,0.31626,0.825851563,2.303238592,
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",,0.388241,0.826271866,1.679315398,
"1,2-epoxycyclohexane~|~7-oxabicyclo[4.1.0]heptane",,0.975332,0.999880099,0.804759444,
acenaphthene,,0.808724,0.881601995,1.058775036,
"1,3,5-tri-tert-butylbenzene",,0.213485,0.812037893,3.280010611,
"1,1,1,2,2,3,3-heptafluoro-3-(trifluoromethoxy)propane",,1.580128,0.8234365,0.560905976,
oxacyclotridecan-2-one,,0.0,0.295373746,0.809600517,
"2,2,2,1,1-pentafluoroethyl 2,2,2-trifluoroethyl ether",,1.646208,0.411263258,0.718049645,
ethylcyclopentane,,1.018363,0.902439636,0.712569749,
"2,5-dimethyl-7-octylbicyclo[4.4.0]decane~|~1,4-dimethyl-5-octyldecahydronaphthalene",,1.411631,0.999896471,0.9681467,
"1,2-ethanedioldipropanoate",,0.883631,0.918596919,1.716291001,
2-propoxyethanol~|~ethylene glycol monopropyl ether,,1.563363,0.999990131,0.634460617,
n-methylethylenediamine,,0.195972,0.82251995,3.053305818,
phosphoryl chloride~|~phosphorus oxychloride~|~phosphoryl trichloride,,0.066871,0.001136618,0.596611612,
"benzeneacetic acid, .alpha.-oxo-",,1.24743,0.17975018,0.685553697,
"(1rs,2sr,5rs)-2,6,6-trimethylbicyclo[3.1.1]heptane",,1.165105,0.946635581,0.675607554,
"1,3-pentadiene~|~(z)-1,3-pentadiene~|~cis-1,3-pentadiene",,0.747773,0.846792761,0.885144016,
azidocyclohexane,,0.592559,0.747144246,0.975193842,
r30b2~|~ch2br2~|~dibromomethane,,1.062502,0.998657598,0.658707269,
"1,7-octadiene",,1.661134,0.989757495,0.494317521,
"1,4-benzoquinone, 2,3,5-trimethyl-",,0.799855,0.952863408,1.313844042,
isobutylamine~|~2-methylpropylamine~|~2-methyl-1-propanamine,,0.0,0.220449599,0.746165683,
n-cyclopentylpiperidine,,1.399753,0.999909773,0.576510382,
"1,2-dimethoxyethane",,1.232462,0.999979133,0.674449009,
"benzene, 1-chloro-2-(trifluoromethyl)-",,1.140744,0.99997754,0.724283202,
"r140a~|~1,1,1-trichloroethane",,1.450856,0.999988109,0.439696978,
"demea~|~(diethylamino)ethanol~|~n,n-diethylethanolamine~|~2-(diethylamino)-ethanol",,2.246889,0.96139496,0.37082117,
"2,4-di-tert-butylphenol",,1.883305,0.752974684,0.520144628,
o-chloronitrobenzene~|~2-chloronitrobenzene~|~1-chloro-2-nitrobenzene,,0.938194,0.880067767,0.952296077,
5-hexen-2-one~|~1-hexen-5-one,,1.285292,0.999739943,0.689083923,
"r152a~|~difluoroethane~|~1,1-difluoroethane",,0.300467,0.843728734,1.89744659,
diisopropyl malonate,,0.977307,0.819733714,1.197289296,
2-acetylthiophene,,0.950139,0.845265619,0.855742269,
"1,2,3,4-tetrafluorobenzene",,0.699984,0.826645294,1.106058939,
"1,2,2,3,3,4,4,5,5,6,6,7-dodecafluoro-1-heptanol",,0.153427,0.780668086,4.216895559,
1-cyclopentyl-2-hexyloctane,,1.6826,0.80403272,0.781903271,
di-tert-butyl ether,,0.694444,0.827064996,1.144700049,
1-bromo-2-(2-(2-methoxyethoxy)ethoxy)benzene,,0.901379,0.902562963,1.874255744,
"n,n-dimethylcyclohexylamine",,0.521918,0.874147355,1.756214887,
1-heptylimidazole,,1.880255,0.76392224,0.43981098,
2-ethylpyridine,,1.097403,0.964333759,0.765318747,
1-(2-(2-(pentyloxy)ethoxy)ethoxy)pentane,,2.901529,0.928264576,0.410729633,
"2-furanacrylic acid, ethyl ester",,1.559081,0.946288482,0.723604143,
"2,2,3,3,4,4,5,5,5-nonafluoropentyl acrylate",,1.466343,0.999634657,0.846905198,
"2,4-dichlorophenol",,1.580034,0.530115817,0.424481869,
triethylamine,,0.22261,0.848042519,2.579633871,
r*s*-(1-sec-butoxyethyl)benzene,,0.751132,0.913353615,1.695778607,
oxygen difluoride,,0.94785,0.99992741,0.491226052,
bis(trimethylsilyl)methane,,1.261633,0.6537179,0.70009524,
r40~|~chloromethane~|~methyl chloride,,0.324316,0.844539257,1.401051592,
"6,10-dioxaspiro(4.5)decane, 8,8-dimethyl-",,1.292423,0.997314674,0.663946863,
2-thiaheptane~|~methylpentylsulfide,,0.786538,0.903841659,1.196340806,
"1,5-hexadiene",,0.866212,0.946900778,0.842952523,
propyl chloride~|~1-chloropropane,,0.269317,0.829835604,1.775754965,
"1,1,1,2,2,3,3-heptafluoro-4-methoxybutane",,1.558836,0.998006431,0.62856475,
n-octyl formate~|~octyl methanoate~|~formicacidoctylester,,0.353127,0.836426021,2.781605255,
"2,5-dimethylhexane",,0.490137,0.795842977,1.433842803,
"5,14-dibutyloctadecane",,1.38543,0.953849959,1.309447145,
(1-butoxy-1-methylethyl)benzene,,1.499853,0.895826721,0.58959636,
propyl benzoate~|~n-propyl benzoate~|~benzoicacidpropylester,,0.150839,0.810918186,3.319525943,
"1,5-dinitronaphthalene",,1.25341,0.984328884,1.085490392,
trichloromethylsilane~|~methyl trichlorosilane,,0.817091,0.999856409,0.935806502,
cyclopropanecarboxylic acid,,1.768194,0.901108287,0.581776704,
"2,3-dithiabutane~|~dimethyldisulfide",,0.713306,0.829220811,0.878470546,
bis(1-methylethyl) pentanedioate,,0.495198,0.800936061,2.326864219,
1-phenylethanamine,,1.54984,0.999936589,0.534291083,
1-bromo-3-chlorobenzene,,0.877349,0.895194751,0.9039428,
chloroethane~|~ethyl chloride,,0.333309,0.841725043,1.492083901,
r32~|~difluoromethane,,0.343623,0.854574377,1.790612917,
chloroethene~|~vinyl chloride,,0.166556,0.857636978,2.175745511,
perfluorobenzene~|~hexafluorobenzene,,0.978017,0.999976224,0.984012229,
1-propylpiperidine,,0.385481,0.866058936,2.3104825,
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",,1.410004,0.999600408,0.59010712,
cyclobutane,,0.422857,0.842650902,1.191652598,
(z)-3-methyl-3-hexene~|~cis-3-methyl-3-hexene,,1.314373,0.98537843,0.61012146,
s*s*-(1-sec-butoxyethyl)benzene,,0.711888,0.90539243,1.812385223,
"(z)-1,2-dimethylcyclopentane~|~cis-1,2-dimethylcyclopentane~|~1,cis-2-dimethylcyclopentane",,0.863757,0.851353379,0.815239583,
"1,5-diazaphenanthrene",,0.699207,0.88727991,1.544190266,
"hydroquinone~|~p-hydroquinone~|~1,4-benzenediol",,1.798091,0.998427165,0.616866778,
4-ethylpyridine~|~.gamma.-ethylpyridine,,0.871528,0.9038784,0.948397311,
3-fluoronitrobenzene,,0.0,0.275460383,0.660514475,
"2,2-dinitro-2-fluoroethanol",,8.93e-6,0.254088349,0.781377077,
diacetoxymethane,,0.382214,0.785029575,2.204786768,
5-methyl-1-hexene,,0.492597,0.923169956,1.673740418,
o-cresol~|~2-methylphenol,,1.11731,0.63258811,0.753189459,
3-methylbutanenitrile,,1.174998,0.99840454,0.706178107,
1-methylethyl octanoate,,1.54008,0.999618287,0.752778973,
"1,1,1-trichloropropane",,1.307653,0.999745186,0.523669168,
dmso~|~dimethyl sulfoxide,,0.332456,0.866011458,2.310731753,
1-chloropentane,,0.41372,0.807181604,1.511982638,
hexane~|~n-hexane,,0.623167,0.831835883,1.134875407,
"p-diisopropylbenzene~|~1,4-diisopropylbenzene~|~1,4-bis(1-methylethyl)-benzene",,0.820394,0.867497212,1.23718824,
cyclopropane,,0.49252,0.850093563,0.967635813,
heptane~|~n-heptane,,0.570752,0.814692229,1.301566247,
methylamine~|~methanamine,,1.331718,0.999971416,0.563467378,
"trans-2-heptene~|~2-heptene, (e)-",,0.523132,0.920565914,1.697694023,
2-oxepanone~|~6-hexanolactone,,1.248292,0.999994933,0.696240422,
"r143a~|~1,1,1-trifluoroethane",,0.245,0.849065209,2.129778311,
1-bromo-1-phenylethane,,0.769298,0.922873431,1.676744047,
4-methylstyrene~|~p-methylstyrene~|~p-methyl-styrene~|~1-ethenyl-4-methylbenzene,,1.273389,0.99661669,0.642932599,
beta-pinene~|~.beta.-pinene,,1.176427,0.990299649,0.673590738,
"3,5-dimethylpyridine",,0.450761,0.819889119,1.562974448,
4-methyloctane,,0.657901,0.916992389,1.73142133,
"1,1,1,2,3,3-hexafluoro-3-(2,2,2-trifluoroethoxy)propane",,0.173505,0.807664084,3.353796756,
"1-(2-chloro-1,1,2-trifluoroethoxy)propane~|~2-chloro-1,1,2-trifluoroethylpropyl ether",,0.205844,0.828909865,2.92499031,
3-chloropropene~|~3-chloro-1-propene,,1.449935,0.876205982,0.448837457,
propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate~|~formic acid propyl ester,,2.864485,0.996502951,0.261569254,
p-chlorobenzotrifluoride~|~1-chloro-4-(trifluoromethyl)benzene~|~1-chloro-4-(trifluoromethyl)-benzene,,0.497858,0.822091907,1.533920117,
1-[2-(2-methoxyethoxy)ethyl]-1h-imidazole,,1.687273,0.925360854,0.566563864,
"camphene~|~2,2-dimethyl-3-methylenebicyclo[2.2.1]heptane",,1.105344,0.983228194,0.715624311,
9-octyltetracosane,,2.176293,0.939830516,0.911633422,
nitroethane,,0.551763,0.827341082,1.293850793,
"phenol, 2-ethoxy-",,0.353358,0.845168619,2.627395611,
5-butylhexadecane,,1.929601,0.999146295,0.668542564,
"1,3-propanediamine~|~1,3-diaminopropane",,1.548136,0.999954372,0.569466986,
hexylacetate~|~n-hexylacetate~|~hexyl ethanoate,,0.255742,0.824918457,2.99307649,
phenylsulfide~|~diphenyl sulfide,,0.581336,0.81391152,1.335402246,
"butyl 1,1,3,3-tetramethylbutyl ether",,0.474644,0.850793739,2.075539361,
pentane~|~n-pentane,,0.795756,0.87937146,0.863656793,
1-bromo-2-fluorobenzene,,1.354124,0.800004464,0.511345085,
methyl phenyl carbonate,,0.640987,0.910258674,1.796421326,
2-anilinoethanol,,0.892286,0.933627224,1.527417055,
