Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
sec-butylcyclohexane~|~1-methylpropylcyclohexane;140.27;668.0;3.105312515e6;0.237553812;0.828308883;2.341730373
tetraethylsilane;144.333;606.0;2.30573746e6;0.722506093;0.853410883;1.188678346
r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene;114.0426127;367.85;3.379452682e6;0.165942938;0.843701187;2.652585391
2,3,3,4-tetramethylpentane;128.259;607.51;2.716106203e6;0.64301963;0.855125847;1.172284809
1-cis-2-trans-4-trimethylcyclopentane~|~1,cis-2,trans-4-trimethylcyclopentane;112.216;577.0;2.867665522e6;0.559517832;0.840554961;1.248448456
r338ccb~|~1,1,1,2,2,3,3,4-octafluorobutane;202.0472253;431.95;2.781464969e6;0.190875529;0.827678527;2.948410963
2,4-dimethylthiazole;113.178;643.0;4.817970736e6;0.515072752;0.845834565;1.445722162
(z)-3-methyl-2-pentene~|~3-methyl-cis-2-pentene~|~cis-3-methyl-2-pentene;84.162;516.0;3.657510288e6;0.289161934;0.865186852;2.32263177
vinylnorbornene~|~5-ethenylbicyclo[2.2.1]-2-heptene;120.195;634.0;3.860612662e6;0.297488913;0.822186929;1.788764251
benzyl mercaptan~|~benzenemethanethiol~|~(mercaptomethyl)benzene;124.201;698.0;3.507671176e6;0.455597583;0.811049991;1.607343846
2-(2-pentyl)phenol;164.248;729.0;2.595367603e6;1.450706902;0.728996997;0.710549027
3,4-dichlorophenol;162.997;793.0;4.612659486e6;1.785370877;0.83911497;0.496145978
(+-)-1,4-dichloro-1,1,2,3,4,4-hexafluorobutane;234.950419;519.99486;2.770308194e6;1.094623662;0.969732488;0.847341574
xenon;131.293;289.7481484;5.83633276e6;0.095519765;0.891991259;1.987935017
1,2,3,4-tetrahydro-n-methylcarbazole~|~2,3,4,9-tetrahydro-9-methyl-1h-carbazole;185.27;852.0;2.592546245e6;0.681897682;0.828155762;1.474539329
deuterium chloride;71.908;323.48695;8.020385954e6;0.838921255;0.999797672;0.666869232
1,1,1-trifluoro-2-methoxyethane;114.0672095;449.0015446;3.511510503e6;0.758192791;0.85569775;1.155400345
azobenzene~|~(e)-1,2-diphenyldiazene;182.226;858.0;4.180260724e6;0.355844846;0.810192796;1.924692683
4-phenylpyrimidine;156.188;816.0;3.827397081e6;1.276599808;0.999984853;0.727884219
1,2,3,4-tetrahydrodibenzothiophene;188.288;857.0;2.945596025e6;0.774446783;0.850601622;1.182170614
2,3-dihydro-4,7-dimethyl-1h-indene;146.233;726.0;2.993833566e6;0.491872751;0.815073681;1.60010801
bromotrinitromethane;229.93;707.0;4.792240958e6;1.557441839;0.555816164;0.441792737
r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane;195.9106795;396.44;3.950362655e6;0.660876122;0.923119486;0.91816083
.gamma.-methoxypropylamine;89.138;594.0;4.946124344e6;1.124761757;0.910468481;0.78504296
cis-perfluorodecalin~|~cis-perfluorodecahydronaphthalene;462.0812569;538.0;1.187953575e6;0.369858827;0.802264808;2.481413109
8-pentadecanone;226.404;735.0;1.536828163e6;0.327389629;0.814646752;3.231607079
9-fluorenemethanol;196.249;914.0;4.162491133e6;1.774404622;0.913323171;0.547989962
perfluoro-2,4,6,8,11,13,15,17-octaoxaoctadecane;666.0668696;536.0;1.015361881e6;0.345387272;0.79918938;3.629251359
2,3-dihydro-1,1,4-7-tetramethyl-1h-indene;174.287;738.0;2.681400386e6;0.396992432;0.810713772;1.905602865
difluorobis(trifluoromethoxy)methane;220.0182253;372.35;2.336651787e6;1.080577475;0.968942591;0.878458982
1,2,3,6,7,8-hexahydropyrene;208.304;889.0;2.249390738e6;1.295803119;0.999973373;0.795073298
4,6-dimethylindan;146.233;721.0;2.971006068e6;0.526204867;0.816515306;1.528770649
3-ethyl-o-xylene~|~1-ethyl-2,3-dimethylbenzene;134.222;676.0;2.929404665e6;1.861522146;0.997654377;0.468748754
phthalan~|~1,3-dihydroisobenzofuran~|~2,5-dihydrobenzo-3,4-furan;120.151;707.0;4.372497369e6;0.320309736;0.817377187;1.953017067
n-hexyl levulinate;200.278;719.0;2.052620027e6;0.534317945;0.827507501;2.258915339
r236fa~|~1,1,1,3,3,3-hexafluoropropane;152.039419;398.07;3.180762043e6;0.470488066;0.814690263;1.585801357
r12b1~|~bromochlorodifluoromethane;165.3618063;427.73584;4.309736737e6;0.918741671;0.999989811;0.685950729
perfluoro-2,4,6,9,11,13-hexaoxatetradecane;534.0532569;499.0;1.122427699e6;0.323249141;0.804676958;3.478939492
azetidine, 1-(2-phenylethyl)-;161.248;755.0;3.028669245e6;0.887003256;0.946576153;1.379103534
