original_nasa_species,final_species,status
cn,cn,missing_kept_nasa_only
cnplus,cnplus,missing_kept_nasa_only
cnminus,cnminus,missing_kept_nasa_only
cnn,cnn,missing_kept_nasa_only
carbon monoxide~|~co,carbon monoxide~|~co,matched
coplus,coplus,missing_kept_nasa_only
cocl,cocl,missing_kept_nasa_only
cocl2,cocl2,missing_kept_nasa_only
cofcl,cofcl,missing_kept_nasa_only
cof2,cof2,missing_kept_nasa_only
cohcl,cohcl,missing_kept_nasa_only
cohf,cohf,missing_kept_nasa_only
carbonyl sulfide~|~carbonyl sulphide~|~cos,carbonyl sulfide~|~carbonyl sulphide~|~cos,matched
carbon dioxide~|~co2,carbon dioxide~|~co2,matched
co2plus,co2plus,missing_kept_nasa_only
cooh,cooh,missing_kept_nasa_only
cp,cp,missing_kept_nasa_only
carbon sulfide~|~carbon monosulfide~|~carbon monosulphide~|~cs,carbon sulfide~|~carbon monosulfide~|~carbon monosulphide~|~cs,matched
cs2~|~carbon disulfide~|~carbon disulphide,cs2~|~carbon disulfide~|~carbon disulphide,matched
c2,c2,missing_kept_nasa_only
c2plus,c2plus,missing_kept_nasa_only
c2minus,c2minus,missing_kept_nasa_only
c2cl,c2cl,missing_kept_nasa_only
c2cl2,c2cl2,missing_kept_nasa_only
c2cl3,c2cl3,missing_kept_nasa_only
c2cl4,c2cl4,missing_kept_nasa_only
c2cl6,c2cl6,missing_kept_nasa_only
c2f,c2f,missing_kept_nasa_only
c2fcl,c2fcl,missing_kept_nasa_only
c2fcl3,c2fcl3,missing_kept_nasa_only
c2f2,c2f2,missing_kept_nasa_only
c2f2cl2,c2f2cl2,missing_kept_nasa_only
c2f3,c2f3,missing_kept_nasa_only
c2f3cl,c2f3cl,missing_kept_nasa_only
c2f4,c2f4,missing_kept_nasa_only
c2f6,c2f6,missing_kept_nasa_only
c2h,c2h,missing_kept_nasa_only
c2hcl,c2hcl,missing_kept_nasa_only
trichloroethene~|~trichloroethylene~|~c2hcl3,trichloroethene~|~trichloroethylene~|~c2hcl3,matched
c2hf,c2hf,missing_kept_nasa_only
c2hfcl2,c2hfcl2,missing_kept_nasa_only
c2hf2cl,c2hf2cl,missing_kept_nasa_only
r1123~|~trifluoroethene~|~trifluoroethylene~|~c2hf3,r1123~|~trifluoroethene~|~trifluoroethylene~|~c2hf3,matched
vinylidene~|~ethenylidene~|~c2h2_vinylidene~|~c2h2-vinylidene,vinylidene~|~ethenylidene~|~c2h2_vinylidene~|~c2h2-vinylidene,missing_kept_nasa_only
c2h2cl2,c2h2cl2,missing_kept_nasa_only
c2h2fcl,c2h2fcl,missing_kept_nasa_only
c2h2f2,c2h2f2,missing_kept_nasa_only
ketene~|~ethenone~|~ch2co~|~ch2co_ketene~|~ch2co-ketene,ketene~|~ethenone~|~ch2co~|~ch2co_ketene~|~ch2co-ketene,matched
ch-2o~|~o_ch_2o~|~o-ch-2o,ch-2o~|~o_ch_2o~|~o-ch-2o,missing_kept_nasa_only
co-2oh~|~ho_co_2oh~|~ho-co-2oh,co-2oh~|~ho_co_2oh~|~ho-co-2oh,missing_kept_nasa_only
vinyl radical~|~vinyl~|~c2h3_vinyl~|~c2h3-vinyl,vinyl radical~|~vinyl~|~c2h3_vinyl~|~c2h3-vinyl,missing_kept_nasa_only
ch2brminuscooh,ch2brminuscooh,missing_kept_nasa_only
c2h3cl,c2h3cl,missing_kept_nasa_only
ch2clminuscooh,ch2clminuscooh,missing_kept_nasa_only
c2h3f,c2h3f,missing_kept_nasa_only
ch3cn,ch3cn,missing_kept_nasa_only
